lonchura_striata_domestica ENSLSDG00000009794
taeniopygia_guttata ENSTGUG00000010686
junco_hyemalis ENSJHYG00000008069
zonotrichia_albicollis ENSZALG00000004255
serinus_canaria ENSSCAG00000015745
parus_major ENSPMJG00000005216
cyanistes_caeruleus ENSCCEG00000011299
ficedula_albicollis ENSFALG00000002274
manacus_vitellinus ENSMVIG00005003967
lepidothrix_coronata ENSLCOG00000016425
melopsittacus_undulatus ENSMUNG00000008500
calidris_pygmaea ENSCPGG00000012603
calidris_pugnax ENSCPUG00000003214
anser_brachyrhynchus ENSABRG00000006323
anas_platyrhynchos_platyrhynchos ENSAPLG00000002846
gallus_gallus ENSGALG00000008771
coturnix_japonica ENSCJPG00005020034
meleagris_gallopavo ENSMGAG00000010857
numida_meleagris ENSNMEG00000013497
apteryx_haastii ENSAHAG00000004495
apteryx_owenii ENSAOWG00000018014
apteryx_rowi ENSARWG00000017847
dromaius_novaehollandiae ENSDNVG00000015470
nothoprocta_perdicaria ENSNPEG00000012164
crocodylus_porosus ENSCPRG00005011295
chrysemys_picta_bellii ENSCPBG00000012849
chelonoidis_abingdonii ENSCABG00000001424
pelodiscus_sinensis ENSPSIG00000009984
pogona_vitticeps ENSPVIG00000010095
anolis_carolinensis ENSACAG00000015815
notechis_scutatus ENSNSUG00000003802
salvator_merianae ENSSMRG00000011258
sphenodon_punctatus ENSSPUG00000004421
ictidomys_tridecemlineatus ENSSTOG00000022724
spermophilus_dauricus ENSSDAG00000022034
marmota_marmota_marmota ENSMMMG00000002171
ictidomys_tridecemlineatus ENSSTOG00000015020
marmota_marmota_marmota ENSMMMG00000022426
urocitellus_parryii ENSUPAG00010023214
chinchilla_lanigera ENSCLAG00000006427
octodon_degus ENSODEG00000008036
cavia_porcellus ENSCPOG00000010884
cavia_aperea ENSCAPG00000000412
heterocephalus_glaber_male ENSHGLG00100009615
heterocephalus_glaber_female ENSHGLG00000016669
heterocephalus_glaber_female ENSHGLG00000012599
heterocephalus_glaber_male ENSHGLG00100017202
heterocephalus_glaber_female ENSHGLG00000014640
heterocephalus_glaber_male ENSHGLG00100004752
heterocephalus_glaber_female ENSHGLG00000015013
heterocephalus_glaber_male ENSHGLG00100010215
heterocephalus_glaber_female ENSHGLG00000010758
heterocephalus_glaber_female ENSHGLG00000000281
fukomys_damarensis ENSFDAG00000019175
dipodomys_ordii ENSDORG00000002618
castor_canadensis ENSCCNG00000005176
mus_spicilegus ENSMSIG00000031294
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0023999
mus_musculus ENSMUSG00000024976
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0023078
mus_pahari MGP_PahariEiJ_G0014566
rattus_norvegicus ENSRNOG00000015339
meriones_unguiculatus ENSMUGG00000014608
cricetulus_griseus_crigri-picr ENSCGRG00015017807
cricetulus_griseus_crigri ENSCGRG00000012113
cricetulus_griseus_chok1gshd ENSCGRG00001000210
mesocricetus_auratus ENSMAUG00000011995
peromyscus_maniculatus_bairdii ENSPEMG00000012491
microtus_ochrogaster ENSMOCG00000018976
nannospalax_galili ENSNGAG00000022024
jaculus_jaculus ENSJJAG00000011062
oryctolagus_cuniculus ENSOCUG00000014348
ochotona_princeps ENSOPRG00000014605
pan_paniscus ENSPPAG00000042733
pan_troglodytes ENSPTRG00000002941
gorilla_gorilla ENSGGOG00000008466
homo_sapiens ENSG00000108061
pongo_abelii ENSPPYG00000002651
nomascus_leucogenys ENSNLEG00000015605
macaca_fascicularis ENSMFAG00000046047
macaca_nemestrina ENSMNEG00000039245
chlorocebus_sabaeus ENSCSAG00000005147
theropithecus_gelada ENSTGEG00000023757
cercocebus_atys ENSCATG00000038046
mandrillus_leucophaeus ENSMLEG00000037364
rhinopithecus_roxellana ENSRROG00000030494
rhinopithecus_bieti ENSRBIG00000006735
colobus_angolensis_palliatus ENSCANG00000037017
papio_anubis ENSPANG00000020801
macaca_mulatta ENSMMUG00000017206
piliocolobus_tephrosceles ENSPTEG00000029192
callithrix_jacchus ENSCJAG00000018854
saimiri_boliviensis_boliviensis ENSSBOG00000022233
cebus_capucinus ENSCCAG00000022431
aotus_nancymaae ENSANAG00000020390
carlito_syrichta ENSTSYG00000028834
propithecus_coquereli ENSPCOG00000016992
microcebus_murinus ENSMICG00000008774
prolemur_simus ENSPSMG00000017120
otolemur_garnettii ENSOGAG00000012588
tupaia_belangeri ENSTBEG00000017566
myotis_lucifugus ENSMLUG00000013811
pteropus_vampyrus ENSPVAG00000016249
equus_asinus_asinus ENSEASG00005014897
equus_caballus ENSECAG00000012499
sorex_araneus ENSSARG00000007930
erinaceus_europaeus ENSEEUG00000000057
ursus_americanus ENSUAMG00000027389
ursus_maritimus ENSUMAG00000023761
ailuropoda_melanoleuca ENSAMEG00000015627
canis_lupus_dingo ENSCAFG00020011943
canis_lupus_familiaris ENSCAFG00000010831
vulpes_vulpes ENSVVUG00000007937
mustela_putorius_furo ENSMPUG00000002060
neovison_vison ENSNVIG00000007792
panthera_tigris_altaica ENSPTIG00000010473
panthera_pardus ENSPPRG00000007582
felis_catus ENSFCAG00000029740
ovis_aries ENSOARG00000010558
capra_hircus ENSCHIG00000013132
bos_mutus ENSBMUG00000017602
bos_taurus ENSBTAG00000007709
bison_bison_bison ENSBBBG00000009553
tursiops_truncatus ENSTTRG00000006982
sus_scrofa ENSSSCG00000010628
vicugna_pacos ENSVPAG00000009576
choloepus_hoffmanni ENSCHOG00000009337
dasypus_novemcinctus ENSDNOG00000015363
loxodonta_africana ENSLAFG00000010173
procavia_capensis ENSPCAG00000016085
echinops_telfairi ENSETEG00000007570
phascolarctos_cinereus ENSPCIG00000000093
notamacropus_eugenii ENSMEUG00000007121
sarcophilus_harrisii ENSSHAG00000011059
monodelphis_domestica ENSMODG00000010356
ornithorhynchus_anatinus ENSOANG00000001591
pogona_vitticeps ENSPVIG00000011448
anolis_carolinensis ENSACAG00000015646
notechis_scutatus ENSNSUG00000006257
salvator_merianae ENSSMRG00000011386
crocodylus_porosus ENSCPRG00005013496
ornithorhynchus_anatinus ENSOANG00000020152
xenopus_tropicalis ENSXETG00000023718
latimeria_chalumnae ENSLACG00000013835
maylandia_zebra ENSMZEG00005002966
astatotilapia_calliptera ENSACLG00000025712
haplochromis_burtoni ENSHBUG00000016843
pundamilia_nyererei ENSPNYG00000002008
neolamprologus_brichardi ENSNBRG00000003391
oreochromis_niloticus ENSONIG00000016288
amphilophus_citrinellus ENSACIG00000016462
poecilia_formosa ENSPFOG00000005227
poecilia_mexicana ENSPMEG00000006400
poecilia_latipinna ENSPLAG00000010378
poecilia_reticulata ENSPREG00000000295
xiphophorus_maculatus ENSXMAG00000006907
xiphophorus_couchianus ENSXCOG00000014655
gambusia_affinis ENSGAFG00000016761
fundulus_heteroclitus ENSFHEG00000013069
cyprinodon_variegatus ENSCVAG00000021695
hippocampus_comes ENSHCOG00000021047
labrus_bergylta ENSLBEG00000025064
cynoglossus_semilaevis ENSCSEG00000012163
seriola_lalandi_dorsalis ENSSLDG00000012269
seriola_dumerili ENSSDUG00000010147
scophthalmus_maximus ENSSMAG00000001267
takifugu_rubripes ENSTRUG00000007923
tetraodon_nigroviridis ENSTNIG00000010580
mola_mola ENSMMOG00000021604
gasterosteus_aculeatus ENSGACG00000018688
amphiprion_percula ENSAPEG00000005680
amphiprion_ocellaris ENSAOCG00000018473
acanthochromis_polyacanthus ENSAPOG00000011135
stegastes_partitus ENSSPAG00000005200
oryzias_latipes ENSORLG00000015325
oryzias_latipes_asm223469v1 ENSORLG00015017785
oryzias_latipes ENSORLG00020017133
oryzias_melastigma ENSOMEG00000006973
kryptolebias_marmoratus ENSKMAG00000020375
monopterus_albus ENSMALG00000001215
mastacembelus_armatus ENSMAMG00000014565
anabas_testudineus ENSATEG00000008681
periophthalmus_magnuspinnatus ENSPMGG00000002935
gadus_morhua ENSGMOG00000014667
esox_lucius ENSELUG00000023017
pygocentrus_nattereri ENSPNAG00000017556
astyanax_mexicanus ENSAMXG00000004549
ictalurus_punctatus ENSIPUG00000010624
danio_rerio ENSDARG00000040853
paramormyrops_kingsleyae ENSPKIG00000017545
scleropages_formosus ENSSFOG00015008045
lepisosteus_oculatus ENSLOCG00000012301
