dipodomys_ordii ENSDORG00000013477
heterocephalus_glaber_female ENSHGLG00000015269
cricetulus_griseus_chok1gshd ENSCGRG00001011077
cricetulus_griseus_crigri ENSCGRG00000007410
mesocricetus_auratus ENSMAUG00000013765
nannospalax_galili ENSNGAG00000005159
urocitellus_parryii ENSUPAG00010000928
spermophilus_dauricus ENSSDAG00000024558
ursus_americanus ENSUAMG00000015508
sphenodon_punctatus ENSSPUG00000011998
notechis_scutatus ENSNSUG00000012293
parus_major ENSPMJG00000008168
serinus_canaria ENSSCAG00000003966
gallus_gallus ENSGALG00000052369
numida_meleagris ENSNMEG00000011875
apteryx_haastii ENSAHAG00000015601
apteryx_owenii ENSAOWG00000015658
nothoprocta_perdicaria ENSNPEG00000000179
crocodylus_porosus ENSCPRG00005018618
chelonoidis_abingdonii ENSCABG00000000053
xiphophorus_couchianus ENSXCOG00000015650
ictalurus_punctatus ENSIPUG00000016698
