pan_troglodytes ENSPTRG00000049420
pan_paniscus ENSPPAG00000029674
gorilla_gorilla ENSGGOG00000040708
nomascus_leucogenys ENSNLEG00000028137
rhinopithecus_roxellana ENSRROG00000038748
rhinopithecus_bieti ENSRBIG00000039158
piliocolobus_tephrosceles ENSPTEG00000018624
colobus_angolensis ENSCANG00000036331
theropithecus_gelada ENSTGEG00000015156
macaca_fascicularis ENSMFAG00000001670
cebus_capucinus ENSCCAG00000020135
saimiri_boliviensis ENSSBOG00000031135
canis_lupus ENSCAFG00020004550
panthera_pardus ENSPPRG00000017930
marmota_marmota ENSMMMG00000016784
urocitellus_parryii ENSUPAG00010005188
macaca_nemestrina ENSMNEG00000019088
mandrillus_leucophaeus ENSMLEG00000027277
papio_anubis ENSPANG00000032758
aotus_nancymaae ENSANAG00000018496
ursus_maritimus ENSUMAG00000016795
ursus_americanus ENSUAMG00000010613
