urocitellus_parryii ENSUPAG00010017810
spermophilus_dauricus ENSSDAG00000015488
cricetulus_griseus_crigri-picr ENSCGRG00015016955
ochotona_princeps ENSOPRG00000000615
pan_troglodytes ENSPTRG00000020827
pan_paniscus ENSPPAG00000038507
pongo_abelii ENSPPYG00000019169
papio_anubis ENSPANG00000030138
chlorocebus_sabaeus ENSCSAG00000009696
piliocolobus_tephrosceles ENSPTEG00000014328
rhinopithecus_bieti ENSRBIG00000033170
canis_lupus_dingo ENSCAFG00020013796
vulpes_vulpes ENSVVUG00000008043
ursus_americanus ENSUAMG00000000630
panthera_tigris_altaica ENSPTIG00000009528
panthera_pardus ENSPPRG00000018980
pteropus_vampyrus ENSPVAG00000005438
bos_mutus ENSBMUG00000011637
bos_taurus ENSBTAG00000034220
ovis_aries ENSOARG00000014422
tursiops_truncatus ENSTTRG00000000156
sorex_araneus ENSSARG00000011813
loxodonta_africana ENSLAFG00000009554
procavia_capensis ENSPCAG00000014671
dasypus_novemcinctus ENSDNOG00000011307
