bos_indicus ENSBIXG00005010373
bos_taurus ENSBTAG00000011121
bos_mutus ENSBMUG00000021195
bison_bison ENSBBBG00000006350
capra_hircus ENSCHIG00000020879
ovis_aries ENSOARG00000010254
tursiops_truncatus ENSTTRG00000000322
vicugna_pacos ENSVPAG00000008551
sus_scrofa ENSSSCG00000024809
ursus_americanus ENSUAMG00000005440
ursus_maritimus ENSUMAG00000005053
ailuropoda_melanoleuca ENSAMEG00000010265
neovison_vison ENSNVIG00000019247
mustela_putorius ENSMPUG00000002495
canis_lupus ENSCAFG00000011537
canis_lupus ENSCAFG00020002224
vulpes_vulpes ENSVVUG00000019049
panthera_pardus ENSPPRG00000001373
panthera_tigris ENSPTIG00000007198
felis_catus ENSFCAG00000007631
pteropus_vampyrus ENSPVAG00000007731
equus_caballus ENSECAG00000016806
equus_asinus ENSEASG00005020752
pan_troglodytes ENSPTRG00000021655
pan_paniscus ENSPPAG00000004966
homo_sapiens ENSG00000073464
gorilla_gorilla ENSGGOG00000010955
pongo_abelii ENSPPYG00000020118
nomascus_leucogenys ENSNLEG00000008869
piliocolobus_tephrosceles ENSPTEG00000032344
colobus_angolensis ENSCANG00000024695
rhinopithecus_bieti ENSRBIG00000014133
rhinopithecus_roxellana ENSRROG00000026310
mandrillus_leucophaeus ENSMLEG00000021001
cercocebus_atys ENSCATG00000045208
papio_anubis ENSPANG00000020606
theropithecus_gelada ENSTGEG00000013987
macaca_mulatta ENSMMUG00000013635
macaca_nemestrina ENSMNEG00000039953
macaca_fascicularis ENSMFAG00000041385
chlorocebus_sabaeus ENSCSAG00000015279
saimiri_boliviensis ENSSBOG00000029604
cebus_capucinus ENSCCAG00000021206
callithrix_jacchus ENSCJAG00000000961
aotus_nancymaae ENSANAG00000024160
carlito_syrichta ENSTSYG00000008026
microcebus_murinus ENSMICG00000002480
propithecus_coquereli ENSPCOG00000013246
prolemur_simus ENSPSMG00000021007
otolemur_garnettii ENSOGAG00000014456
castor_canadensis ENSCCNG00000020897
dipodomys_ordii ENSDORG00000012372
mus_spicilegus ENSMSIG00000021485
mus_spretus MGP_SPRETEiJ_G0030238
mus_musculus ENSMUSG00000000605
mus_caroli MGP_CAROLIEiJ_G0029176
mus_pahari MGP_PahariEiJ_G0032127
rattus_norvegicus ENSRNOG00000003533
meriones_unguiculatus ENSMUGG00000013393
peromyscus_maniculatus ENSPEMG00000010296
microtus_ochrogaster ENSMOCG00000016495
cricetulus_griseus ENSCGRG00001000904
cricetulus_griseus ENSCGRG00015013589
cricetulus_griseus ENSCGRG00000003527
mesocricetus_auratus ENSMAUG00000007236
nannospalax_galili ENSNGAG00000018939
jaculus_jaculus ENSJJAG00000007035
heterocephalus_glaber ENSHGLG00100005254
heterocephalus_glaber ENSHGLG00000000190
fukomys_damarensis ENSFDAG00000014522
chinchilla_lanigera ENSCLAG00000000271
octodon_degus ENSODEG00000004104
cavia_porcellus ENSCPOG00000010607
cavia_aperea ENSCAPG00000000032
urocitellus_parryii ENSUPAG00010003173
ictidomys_tridecemlineatus ENSSTOG00000008890
spermophilus_dauricus ENSSDAG00000002902
marmota_marmota ENSMMMG00000003786
tupaia_belangeri ENSTBEG00000006625
loxodonta_africana ENSLAFG00000002239
procavia_capensis ENSPCAG00000005739
