amphiprion_ocellaris ENSAOCG00000003263
amphiprion_percula ENSAPEG00000010398
stegastes_partitus ENSSPAG00000006801
xiphophorus_maculatus ENSXMAG00000023450
xiphophorus_maculatus ENSXMAG00000021909
poecilia_mexicana ENSPMEG00000009873
fundulus_heteroclitus ENSFHEG00000014678
cyprinodon_variegatus ENSCVAG00000004568
anabas_testudineus ENSATEG00000004257
anabas_testudineus ENSATEG00000003933
monopterus_albus ENSMALG00000005109
seriola_lalandi_dorsalis ENSSLDG00000001110
mola_mola ENSMMOG00000016894
maylandia_zebra ENSMZEG00005023041
maylandia_zebra ENSMZEG00005028101
maylandia_zebra ENSMZEG00005022716
haplochromis_burtoni ENSHBUG00000007889
pundamilia_nyererei ENSPNYG00000005167
labrus_bergylta ENSLBEG00000018088
mastacembelus_armatus ENSMAMG00000018885
mastacembelus_armatus ENSMAMG00000007311
mastacembelus_armatus ENSMAMG00000007049
mastacembelus_armatus ENSMAMG00000007179
cynoglossus_semilaevis ENSCSEG00000017584
