seriola_dumerili ENSSDUG00000018795
lates_calcarifer ENSLCAG00010014998
xiphophorus_maculatus ENSXMAG00000027030
xiphophorus_couchianus ENSXCOG00000002063
gambusia_affinis ENSGAFG00000009977
poecilia_mexicana ENSPMEG00000008635
poecilia_latipinna ENSPLAG00000017399
poecilia_reticulata ENSPREG00000017535
fundulus_heteroclitus ENSFHEG00000018667
cyprinodon_variegatus ENSCVAG00000008781
kryptolebias_marmoratus ENSKMAG00000010355
parambassis_ranga ENSPRNG00000012013
hippocampus_comes ENSHCOG00000004310
takifugu_rubripes ENSTRUG00000019565
cynoglossus_semilaevis ENSCSEG00000016223
mastacembelus_armatus ENSMAMG00000011737
monopterus_albus ENSMALG00000016660
