scleropages_formosus ENSSFOG00015015378
paramormyrops_kingsleyae ENSPKIG00000017080
tetraodon_nigroviridis ENSTNIG00000001696
tetraodon_nigroviridis ENSTNIG00000009091
takifugu_rubripes ENSTRUG00000009406
mola_mola ENSMMOG00000008183
gasterosteus_aculeatus ENSGACG00000016995
cynoglossus_semilaevis ENSCSEG00000015989
monopterus_albus ENSMALG00000005340
mastacembelus_armatus ENSMAMG00000011043
anabas_testudineus ENSATEG00000021605
xiphophorus_maculatus ENSXMAG00000014121
xiphophorus_couchianus ENSXCOG00000004440
gambusia_affinis ENSGAFG00000008728
poecilia_mexicana ENSPMEG00000020435
poecilia_latipinna ENSPLAG00000000494
poecilia_formosa ENSPFOG00000019769
poecilia_reticulata ENSPREG00000011609
cyprinodon_variegatus ENSCVAG00000022023
fundulus_heteroclitus ENSFHEG00000013165
kryptolebias_marmoratus ENSKMAG00000007785
oryzias_latipes ENSORLG00000024661
oryzias_latipes_asm223469v1 ENSORLG00015004199
oryzias_latipes ENSORLG00020001097
oryzias_melastigma ENSOMEG00000002283
amphiprion_percula ENSAPEG00000010845
amphiprion_ocellaris ENSAOCG00000005691
acanthochromis_polyacanthus ENSAPOG00000014715
stegastes_partitus ENSSPAG00000012502
astatotilapia_calliptera ENSACLG00000016556
maylandia_zebra ENSMZEG00005026618
pundamilia_nyererei ENSPNYG00000009458
haplochromis_burtoni ENSHBUG00000000977
neolamprologus_brichardi ENSNBRG00000002970
oreochromis_niloticus ENSONIG00000013906
amphilophus_citrinellus ENSACIG00000016430
seriola_lalandi_dorsalis ENSSLDG00000013051
seriola_dumerili ENSSDUG00000018341
labrus_bergylta ENSLBEG00000020081
scophthalmus_maximus ENSSMAG00000001315
periophthalmus_magnuspinnatus ENSPMGG00000011532
gadus_morhua ENSGMOG00000001412
esox_lucius ENSELUG00000020868
pygocentrus_nattereri ENSPNAG00000015988
astyanax_mexicanus ENSAMXG00000020658
danio_rerio ENSDARG00000060829
pygocentrus_nattereri ENSPNAG00000002370
astyanax_mexicanus ENSAMXG00000035470
ictalurus_punctatus ENSIPUG00000008167
lepisosteus_oculatus ENSLOCG00000004958
apteryx_haastii ENSAHAG00000018422
apteryx_owenii ENSAOWG00000009120
apteryx_rowi ENSARWG00000008690
dromaius_novaehollandiae ENSDNVG00000003915
nothoprocta_perdicaria ENSNPEG00000009827
anser_brachyrhynchus ENSABRG00000005053
