felis_catus ENSFCAG00000044621
panthera_pardus ENSPPRG00000009118
neovison_vison ENSNVIG00000005497
bison_bison_bison ENSBBBG00000016816
rhinopithecus_roxellana ENSRROG00000045720
rhinopithecus_bieti ENSRBIG00000040170
piliocolobus_tephrosceles ENSPTEG00000004119
colobus_angolensis_palliatus ENSCANG00000040970
mandrillus_leucophaeus ENSMLEG00000044165
cercocebus_atys ENSCATG00000036576
theropithecus_gelada ENSTGEG00000011426
macaca_fascicularis ENSMFAG00000037502
aotus_nancymaae ENSANAG00000036119
saimiri_boliviensis_boliviensis ENSSBOG00000020089
