chlorocebus_sabaeus ENSCSAG00000011040
theropithecus_gelada ENSTGEG00000002771
piliocolobus_tephrosceles ENSPTEG00000005525
theropithecus_gelada ENSTGEG00000011328
pan_troglodytes ENSPTRG00000048382
pan_paniscus ENSPPAG00000036315
carlito_syrichta ENSTSYG00000035019
notamacropus_eugenii ENSMEUG00000000137
crocodylus_porosus ENSCPRG00005000451
chelonoidis_abingdonii ENSCABG00000004257
amphiprion_percula ENSAPEG00000011902
neolamprologus_brichardi ENSNBRG00000006509
scophthalmus_maximus ENSSMAG00000014796
seriola_dumerili ENSSDUG00000021508
mola_mola ENSMMOG00000012219
takifugu_rubripes ENSTRUG00000013289
labrus_bergylta ENSLBEG00000025898
hippocampus_comes ENSHCOG00000006484
cynoglossus_semilaevis ENSCSEG00000016696
periophthalmus_magnuspinnatus ENSPMGG00000009643
