chrysemys_picta ENSCPBG00000007264
chelonoidis_abingdonii ENSCABG00000013522
pogona_vitticeps ENSPVIG00000012166
dipodomys_ordii ENSDORG00000024073
aotus_nancymaae ENSANAG00000028865
hucho_hucho ENSHHUG00000027062
salvator_merianae ENSSMRG00000015320
takifugu_rubripes ENSTRUG00000023123
tetraodon_nigroviridis ENSTNIG00000000594
gasterosteus_aculeatus ENSGACG00000006696
fundulus_heteroclitus ENSFHEG00000015603
cyprinodon_variegatus ENSCVAG00000000622
poecilia_formosa ENSPFOG00000020875
poecilia_mexicana ENSPMEG00000005976
poecilia_latipinna ENSPLAG00000000238
poecilia_reticulata ENSPREG00000004185
xiphophorus_maculatus ENSXMAG00000029697
gambusia_affinis ENSGAFG00000001237
gouania_willdenowi ENSGWIG00000007437
astatotilapia_calliptera ENSACLG00000001738
pundamilia_nyererei ENSPNYG00000011839
maylandia_zebra ENSMZEG00005013061
haplochromis_burtoni ENSHBUG00000004079
neolamprologus_brichardi ENSNBRG00000000800
parambassis_ranga ENSPRNG00000025372
larimichthys_crocea ENSLCRG00005009911
cottoperca_gobio ENSCGOG00000015749
labrus_bergylta ENSLBEG00000019426
hucho_hucho ENSHHUG00000006920
denticeps_clupeoides ENSDCDG00000020710
paramormyrops_kingsleyae ENSPKIG00000012076
eptatretus_burgeri ENSEBUG00000007107
