notechis_scutatus ENSNSUG00000009828
pogona_vitticeps ENSPVIG00000005209
salvator_merianae ENSSMRG00000005921
sphenodon_punctatus ENSSPUG00000016676
anolis_carolinensis ENSACAG00000003488
apteryx_owenii ENSAOWG00000001675
apteryx_rowi ENSARWG00000003649
dromaius_novaehollandiae ENSDNVG00000001452
calidris_pugnax ENSCPUG00000003828
crocodylus_porosus ENSCPRG00005011999
chrysemys_picta_bellii ENSCPBG00000013608
gopherus_agassizii ENSGAGG00000005087
pan_troglodytes ENSPTRG00000011042
gorilla_gorilla ENSGGOG00000013654
pongo_abelii ENSPPYG00000010034
nomascus_leucogenys ENSNLEG00000026639
rhinopithecus_roxellana ENSRROG00000023216
rhinopithecus_bieti ENSRBIG00000039241
piliocolobus_tephrosceles ENSPTEG00000026221
cercocebus_atys ENSCATG00000030312
macaca_fascicularis ENSMFAG00000039157
chlorocebus_sabaeus ENSCSAG00000003483
theropithecus_gelada ENSTGEG00000021380
papio_anubis ENSPANG00000021116
cebus_capucinus ENSCCAG00000037408
callithrix_jacchus ENSCJAG00000012725
aotus_nancymaae ENSANAG00000038058
propithecus_coquereli ENSPCOG00000024041
prolemur_simus ENSPSMG00000016806
microcebus_murinus ENSMICG00000015136
urocitellus_parryii ENSUPAG00010000202
marmota_marmota_marmota ENSMMMG00000018145
ictidomys_tridecemlineatus ENSSTOG00000011995
castor_canadensis ENSCCNG00000006217
chinchilla_lanigera ENSCLAG00000006835
octodon_degus ENSODEG00000012165
cavia_porcellus ENSCPOG00000018909
cavia_aperea ENSCAPG00000015632
heterocephalus_glaber_female ENSHGLG00000004011
heterocephalus_glaber_male ENSHGLG00100005350
fukomys_damarensis ENSFDAG00000013856
mus_musculus ENSMUSG00000003378
mus_spicilegus ENSMSIG00000010580
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0030452
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0029355
mus_pahari MGP_PahariEiJ_G0021208
rattus_norvegicus ENSRNOG00000020310
peromyscus_maniculatus_bairdii ENSPEMG00000017219
microtus_ochrogaster ENSMOCG00000001917
cricetulus_griseus_crigri ENSCGRG00000012476
cricetulus_griseus_crigri-picr ENSCGRG00015022847
cricetulus_griseus_chok1gshd ENSCGRG00001001142
meriones_unguiculatus ENSMUGG00000015835
nannospalax_galili ENSNGAG00000024062
ursus_americanus ENSUAMG00000020904
ursus_maritimus ENSUMAG00000002670
ailuropoda_melanoleuca ENSAMEG00000004677
neovison_vison ENSNVIG00000024604
mustela_putorius_furo ENSMPUG00000007345
canis_lupus_familiaris ENSCAFG00000004930
canis_lupus_dingo ENSCAFG00020014562
vulpes_vulpes ENSVVUG00000010369
panthera_pardus ENSPPRG00000007924
panthera_tigris_altaica ENSPTIG00000019069
felis_catus ENSFCAG00000012730
myotis_lucifugus ENSMLUG00000014661
bison_bison_bison ENSBBBG00000005368
bos_mutus ENSBMUG00000007983
capra_hircus ENSCHIG00000025382
sus_scrofa ENSSSCG00000003038
equus_caballus ENSECAG00000018739
equus_asinus_asinus ENSEASG00005006176
tupaia_belangeri ENSTBEG00000011541
dipodomys_ordii ENSDORG00000013438
carlito_syrichta ENSTSYG00000002813
otolemur_garnettii ENSOGAG00000015433
macaca_mulatta ENSMMUG00000017431
macaca_nemestrina ENSMNEG00000041919
mandrillus_leucophaeus ENSMLEG00000036222
colobus_angolensis_palliatus ENSCANG00000039872
pan_paniscus ENSPPAG00000035623
homo_sapiens ENSG00000105737
saimiri_boliviensis_boliviensis ENSSBOG00000022110
oryctolagus_cuniculus ENSOCUG00000023882
spermophilus_dauricus ENSSDAG00000006694
bos_taurus ENSBTAG00000011723
bos_taurus ENSBTAG00000054584
ovis_aries ENSOARG00000008234
tursiops_truncatus ENSTTRG00000008314
pteropus_vampyrus ENSPVAG00000010614
procavia_capensis ENSPCAG00000008158
ochotona_princeps ENSOPRG00000011035
mesocricetus_auratus ENSMAUG00000004340
echinops_telfairi ENSETEG00000004268
loxodonta_africana ENSLAFG00000007733
jaculus_jaculus ENSJJAG00000015626
dasypus_novemcinctus ENSDNOG00000038266
erinaceus_europaeus ENSEEUG00000012183
phascolarctos_cinereus ENSPCIG00000013763
notamacropus_eugenii ENSMEUG00000016652
sarcophilus_harrisii ENSSHAG00000008541
monodelphis_domestica ENSMODG00000019340
ornithorhynchus_anatinus ENSOANG00000012545
danio_rerio ENSDARG00000078151
danio_rerio ENSDARG00000111980
gadus_morhua ENSGMOG00000017955
amphiprion_percula ENSAPEG00000009966
periophthalmus_magnuspinnatus ENSPMGG00000012427
