microcebus_murinus ENSMICG00000046655
otolemur_garnettii ENSOGAG00000024809
homo_sapiens ENSG00000204962
gorilla_gorilla ENSGGOG00000007051
pongo_abelii ENSPPYG00000015870
nomascus_leucogenys ENSNLEG00000009485
macaca_mulatta ENSMMUG00000039601
macaca_fascicularis ENSMFAG00000040107
macaca_nemestrina ENSMNEG00000008879
theropithecus_gelada ENSTGEG00000020858
theropithecus_gelada ENSTGEG00000010511
rhinopithecus_roxellana ENSRROG00000029015
pongo_abelii ENSPPYG00000015869
homo_sapiens ENSG00000081842
mandrillus_leucophaeus ENSMLEG00000044351
saimiri_boliviensis_boliviensis ENSSBOG00000000399
cricetulus_griseus_crigri ENSCGRG00000017807
peromyscus_maniculatus_bairdii ENSPEMG00000023316
microtus_ochrogaster ENSMOCG00000021671
nannospalax_galili ENSNGAG00000017405
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0022147
mus_musculus ENSMUSG00000103707
mus_pahari MGP_PahariEiJ_G0018881
microtus_ochrogaster ENSMOCG00000003208
nannospalax_galili ENSNGAG00000015840
heterocephalus_glaber_male ENSHGLG00100000633
castor_canadensis ENSCCNG00000009780
dipodomys_ordii ENSDORG00000026516
marmota_marmota_marmota ENSMMMG00000011282
canis_lupus_dingo ENSCAFG00020000320
canis_lupus_familiaris ENSCAFG00000023254
bos_taurus ENSBTAG00000015439
pteropus_vampyrus ENSPVAG00000004931
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0023067
dasypus_novemcinctus ENSDNOG00000017296
