denticeps_clupeoides ENSDCDG00000005597
clupea_harengus ENSCHAG00000000485
electrophorus_electricus ENSEEEG00000016504
ictalurus_punctatus ENSIPUG00000022298
astyanax_mexicanus ENSAMXG00000035433
astyanax_mexicanus ENSAMXG00005005935
pygocentrus_nattereri ENSPNAG00000018474
amphiprion_percula ENSAPEG00000019369
amphiprion_ocellaris ENSAOCG00000003764
acanthochromis_polyacanthus ENSAPOG00000021318
stegastes_partitus ENSSPAG00000017389
parambassis_ranga ENSPRNG00000004558
astatotilapia_calliptera ENSACLG00000020294
haplochromis_burtoni ENSHBUG00000017863
amphilophus_citrinellus ENSACIG00000010458
labrus_bergylta ENSLBEG00000027587
larimichthys_crocea ENSLCRG00005015948
cottoperca_gobio ENSCGOG00000018702
mola_mola ENSMMOG00000020222
takifugu_rubripes ENSTRUG00000021288
fundulus_heteroclitus ENSFHEG00000015771
cyprinodon_variegatus ENSCVAG00000003570
poecilia_mexicana ENSPMEG00000007268
poecilia_reticulata ENSPREG00000005435
gambusia_affinis ENSGAFG00000005425
xiphophorus_maculatus ENSXMAG00000028117
xiphophorus_couchianus ENSXCOG00000000156
kryptolebias_marmoratus ENSKMAG00000006421
oryzias_latipes ENSORLG00000024389
oryzias_latipes ENSORLG00015008815
oryzias_melastigma ENSOMEG00000014933
mastacembelus_armatus ENSMAMG00000019935
monopterus_albus ENSMALG00000020195
cynoglossus_semilaevis ENSCSEG00000020625
betta_splendens ENSBSLG00000005776
lates_calcarifer ENSLCAG00010006603
seriola_dumerili ENSSDUG00000023140
seriola_lalandi ENSSLDG00000005737
gouania_willdenowi ENSGWIG00000023190
hippocampus_comes ENSHCOG00000000202
scophthalmus_maximus ENSSMAG00000012849
periophthalmus_magnuspinnatus ENSPMGG00000008898
paramormyrops_kingsleyae ENSPKIG00000014509
