anas_platyrhynchos_platyrhynchos ENSAPLG00000019681
melopsittacus_undulatus ENSMUNG00000012449
dromaius_novaehollandiae ENSDNVG00000000746
apteryx_owenii ENSAOWG00000000183
bos_mutus ENSBMUG00000005958
bison_bison_bison ENSBBBG00000022426
equus_caballus ENSECAG00000040418
erinaceus_europaeus ENSEEUG00000011143
callithrix_jacchus ENSCJAG00000045374
cebus_capucinus ENSCCAG00000018914
aotus_nancymaae ENSANAG00000026867
pan_troglodytes ENSPTRG00000048506
pan_troglodytes ENSPTRG00000050089
pan_paniscus ENSPPAG00000039619
gorilla_gorilla ENSGGOG00000037259
pongo_abelii ENSPPYG00000012038
piliocolobus_tephrosceles ENSPTEG00000025716
choloepus_hoffmanni ENSCHOG00000008885
haplochromis_burtoni ENSHBUG00000008149
haplochromis_burtoni ENSHBUG00000005366
anabas_testudineus ENSATEG00000006452
