mustela_putorius ENSMPUG00000017851
neovison_vison ENSNVIG00000007978
ursus_americanus ENSUAMG00000021632
panthera_pardus ENSPPRG00000002227
panthera_tigris ENSPTIG00000011394
felis_catus ENSFCAG00000046204
equus_asinus ENSEASG00005002392
equus_caballus ENSECAG00000021480
urocitellus_parryii ENSUPAG00010011520
spermophilus_dauricus ENSSDAG00000005269
marmota_marmota ENSMMMG00000004235
castor_canadensis ENSCCNG00000011713
chinchilla_lanigera ENSCLAG00000010752
cavia_porcellus ENSCPOG00000036743
fukomys_damarensis ENSFDAG00000003154
tupaia_belangeri ENSTBEG00000003506
propithecus_coquereli ENSPCOG00000020957
microcebus_murinus ENSMICG00000033085
prolemur_simus ENSPSMG00000019449
otolemur_garnettii ENSOGAG00000034021
pan_troglodytes ENSPTRG00000010893
pan_paniscus ENSPPAG00000042536
homo_sapiens ENSG00000189144
gorilla_gorilla ENSGGOG00000039334
pongo_abelii ENSPPYG00000009922
nomascus_leucogenys ENSNLEG00000016972
macaca_fascicularis ENSMFAG00000000199
macaca_mulatta ENSMMUG00000002495
macaca_nemestrina ENSMNEG00000038144
mandrillus_leucophaeus ENSMLEG00000043593
theropithecus_gelada ENSTGEG00000006187
papio_anubis ENSPANG00000033441
cercocebus_atys ENSCATG00000023803
chlorocebus_sabaeus ENSCSAG00000004148
rhinopithecus_roxellana ENSRROG00000043105
rhinopithecus_bieti ENSRBIG00000044929
colobus_angolensis ENSCANG00000040121
piliocolobus_tephrosceles ENSPTEG00000013281
saimiri_boliviensis ENSSBOG00000034668
cebus_capucinus ENSCCAG00000019194
aotus_nancymaae ENSANAG00000032656
ailuropoda_melanoleuca ENSAMEG00000015689
ursus_americanus ENSUAMG00000021628
castor_canadensis ENSCCNG00000011708
