ursus_americanus ENSUAMG00000025540
ursus_maritimus ENSUMAG00000018459
ailuropoda_melanoleuca ENSAMEG00000001660
mustela_putorius_furo ENSMPUG00000005644
neovison_vison ENSNVIG00000006527
vulpes_vulpes ENSVVUG00000029396
vulpes_vulpes ENSVVUG00000029408
canis_lupus_familiaris ENSCAFG00000017522
canis_lupus_dingo ENSCAFG00020004818
panthera_pardus ENSPPRG00000003310
panthera_tigris_altaica ENSPTIG00000021362
felis_catus ENSFCAG00000010561
equus_caballus ENSECAG00000019706
equus_asinus_asinus ENSEASG00005021917
capra_hircus ENSCHIG00000008714
ovis_aries ENSOARG00000007268
bos_mutus ENSBMUG00000017591
bos_taurus ENSBTAG00000009702
bison_bison_bison ENSBBBG00000013396
tursiops_truncatus ENSTTRG00000008393
sus_scrofa ENSSSCG00000018005
vicugna_pacos ENSVPAG00000009066
myotis_lucifugus ENSMLUG00000016365
pteropus_vampyrus ENSPVAG00000005326
erinaceus_europaeus ENSEEUG00000006103
sorex_araneus ENSSARG00000013081
homo_sapiens ENSG00000133020
gorilla_gorilla ENSGGOG00000036439
pan_paniscus ENSPPAG00000038750
pan_troglodytes ENSPTRG00000008768
pongo_abelii ENSPPYG00000007980
nomascus_leucogenys ENSNLEG00000010147
piliocolobus_tephrosceles ENSPTEG00000002800
colobus_angolensis_palliatus ENSCANG00000026410
rhinopithecus_roxellana ENSRROG00000045178
rhinopithecus_bieti ENSRBIG00000033585
cercocebus_atys ENSCATG00000030039
mandrillus_leucophaeus ENSMLEG00000028263
theropithecus_gelada ENSTGEG00000027264
papio_anubis ENSPANG00000023757
macaca_fascicularis ENSMFAG00000033653
macaca_mulatta ENSMMUG00000009763
macaca_nemestrina ENSMNEG00000037358
chlorocebus_sabaeus ENSCSAG00000010037
callithrix_jacchus ENSCJAG00000046689
cebus_capucinus ENSCCAG00000036147
saimiri_boliviensis_boliviensis ENSSBOG00000032438
aotus_nancymaae ENSANAG00000035498
carlito_syrichta ENSTSYG00000000775
microcebus_murinus ENSMICG00000010957
propithecus_coquereli ENSPCOG00000024313
prolemur_simus ENSPSMG00000015291
otolemur_garnettii ENSOGAG00000011832
urocitellus_parryii ENSUPAG00010017234
ictidomys_tridecemlineatus ENSSTOG00000008604
spermophilus_dauricus ENSSDAG00000006409
marmota_marmota_marmota ENSMMMG00000020759
dipodomys_ordii ENSDORG00000028497
tupaia_belangeri ENSTBEG00000015662
loxodonta_africana ENSLAFG00000015399
procavia_capensis ENSPCAG00000000963
choloepus_hoffmanni ENSCHOG00000011739
peromyscus_maniculatus_bairdii ENSPEMG00000007340
microtus_ochrogaster ENSMOCG00000014401
cricetulus_griseus_chok1gshd ENSCGRG00001009701
cricetulus_griseus_crigri ENSCGRG00000011306
cricetulus_griseus_crigri-picr ENSCGRG00015012969
mesocricetus_auratus ENSMAUG00000013528
mus_musculus ENSMUSG00000055775
mus_spicilegus ENSMSIG00000007496
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0016525
mus_pahari MGP_PahariEiJ_G0017655
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017361
rattus_norvegicus ENSRNOG00000050042
meriones_unguiculatus ENSMUGG00000026442
nannospalax_galili ENSNGAG00000019201
jaculus_jaculus ENSJJAG00000010170
cavia_porcellus ENSCPOG00000039186
cavia_aperea ENSCAPG00000012636
chinchilla_lanigera ENSCLAG00000013990
octodon_degus ENSODEG00000000933
heterocephalus_glaber_female ENSHGLG00000010857
heterocephalus_glaber_male ENSHGLG00100012998
fukomys_damarensis ENSFDAG00000008413
oryctolagus_cuniculus ENSOCUG00000010229
ochotona_princeps ENSOPRG00000004249
phascolarctos_cinereus ENSPCIG00000033871
notamacropus_eugenii ENSMEUG00000002700
sarcophilus_harrisii ENSSHAG00000009277
echinops_telfairi ENSETEG00000015671
ornithorhynchus_anatinus ENSOANG00000000236
