pan_troglodytes ENSPTRG00000004425
pan_paniscus ENSPPAG00000029735
gorilla_gorilla ENSGGOG00000003753
homo_sapiens ENSG00000110013
pongo_abelii ENSPPYG00000004016
nomascus_leucogenys ENSNLEG00000007435
macaca_fascicularis ENSMFAG00000003476
macaca_mulatta ENSMMUG00000008476
macaca_nemestrina ENSMNEG00000040354
theropithecus_gelada ENSTGEG00000027516
papio_anubis ENSPANG00000013228
mandrillus_leucophaeus ENSMLEG00000000073
cercocebus_atys ENSCATG00000032401
chlorocebus_sabaeus ENSCSAG00000002381
rhinopithecus_bieti ENSRBIG00000036303
rhinopithecus_roxellana ENSRROG00000038282
piliocolobus_tephrosceles ENSPTEG00000006818
colobus_angolensis_palliatus ENSCANG00000020636
cebus_capucinus ENSCCAG00000025520
saimiri_boliviensis_boliviensis ENSSBOG00000030080
callithrix_jacchus ENSCJAG00000007950
aotus_nancymaae ENSANAG00000037232
carlito_syrichta ENSTSYG00000008365
propithecus_coquereli ENSPCOG00000018481
prolemur_simus ENSPSMG00000001847
microcebus_murinus ENSMICG00000001679
otolemur_garnettii ENSOGAG00000015699
tupaia_belangeri ENSTBEG00000012601
mus_spicilegus ENSMSIG00000015296
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0033114
mus_musculus ENSMUSG00000001942
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0031988
mus_pahari MGP_PahariEiJ_G0014852
rattus_norvegicus ENSRNOG00000031266
meriones_unguiculatus ENSMUGG00000006645
cricetulus_griseus_chok1gshd ENSCGRG00001017674
cricetulus_griseus_crigri-picr ENSCGRG00015009568
cricetulus_griseus_crigri ENSCGRG00000003485
mesocricetus_auratus ENSMAUG00000013834
peromyscus_maniculatus_bairdii ENSPEMG00000008878
microtus_ochrogaster ENSMOCG00000020482
nannospalax_galili ENSNGAG00000013767
jaculus_jaculus ENSJJAG00000020788
castor_canadensis ENSCCNG00000016042
cavia_porcellus ENSCPOG00000007892
cavia_aperea ENSCAPG00000012863
octodon_degus ENSODEG00000004746
chinchilla_lanigera ENSCLAG00000015817
heterocephalus_glaber_male ENSHGLG00100002339
