choloepus_hoffmanni ENSCHOG00000003149
dasypus_novemcinctus ENSDNOG00000044370
tursiops_truncatus ENSTTRG00000011865
vicugna_pacos ENSVPAG00000002830
oryctolagus_cuniculus ENSOCUG00000009703
ochotona_princeps ENSOPRG00000014032
echinops_telfairi ENSETEG00000007667
heterocephalus_glaber ENSHGLG00000009079
heterocephalus_glaber ENSHGLG00100015846
fukomys_damarensis ENSFDAG00000009051
cavia_porcellus ENSCPOG00000011832
chinchilla_lanigera ENSCLAG00000010641
octodon_degus ENSODEG00000017265
spermophilus_dauricus ENSSDAG00000024921
ictidomys_tridecemlineatus ENSSTOG00000006611
urocitellus_parryii ENSUPAG00010002829
marmota_marmota ENSMMMG00000017627
jaculus_jaculus ENSJJAG00000000752
pan_troglodytes ENSPTRG00000014214
pan_paniscus ENSPPAG00000030608
homo_sapiens ENSG00000183762
gorilla_gorilla ENSGGOG00000002171
pongo_abelii ENSPPYG00000011681
nomascus_leucogenys ENSNLEG00000002586
piliocolobus_tephrosceles ENSPTEG00000023597
colobus_angolensis ENSCANG00000037644
rhinopithecus_roxellana ENSRROG00000033049
rhinopithecus_bieti ENSRBIG00000024091
theropithecus_gelada ENSTGEG00000026146
papio_anubis ENSPANG00000000469
macaca_fascicularis ENSMFAG00000035109
macaca_mulatta ENSMMUG00000021370
macaca_nemestrina ENSMNEG00000016669
mandrillus_leucophaeus ENSMLEG00000011932
chlorocebus_sabaeus ENSCSAG00000009891
cercocebus_atys ENSCATG00000037215
cebus_capucinus ENSCCAG00000037516
callithrix_jacchus ENSCJAG00000020057
saimiri_boliviensis ENSSBOG00000031564
aotus_nancymaae ENSANAG00000036374
carlito_syrichta ENSTSYG00000010112
propithecus_coquereli ENSPCOG00000016459
prolemur_simus ENSPSMG00000014013
microcebus_murinus ENSMICG00000004247
otolemur_garnettii ENSOGAG00000008979
castor_canadensis ENSCCNG00000015133
dipodomys_ordii ENSDORG00000002861
cavia_aperea ENSCAPG00000016075
tupaia_belangeri ENSTBEG00000006349
equus_caballus ENSECAG00000008652
equus_asinus ENSEASG00005010045
vicugna_pacos ENSVPAG00000004523
sorex_araneus ENSSARG00000010606
erinaceus_europaeus ENSEEUG00000013004
myotis_lucifugus ENSMLUG00000012018
ursus_americanus ENSUAMG00000012612
ursus_maritimus ENSUMAG00000015961
ailuropoda_melanoleuca ENSAMEG00000008416
neovison_vison ENSNVIG00000003886
mustela_putorius ENSMPUG00000013489
vulpes_vulpes ENSVVUG00000025792
canis_lupus ENSCAFG00000011994
canis_lupus ENSCAFG00020000299
sus_scrofa ENSSSCG00000009972
pteropus_vampyrus ENSPVAG00000009811
cricetulus_griseus ENSCGRG00000010734
cricetulus_griseus ENSCGRG00001009156
mesocricetus_auratus ENSMAUG00000018530
peromyscus_maniculatus ENSPEMG00000013999
microtus_ochrogaster ENSMOCG00000006589
mus_spicilegus ENSMSIG00000018656
mus_spretus MGP_SPRETEiJ_G0016892
mus_musculus ENSMUSG00000020393
mus_caroli MGP_CAROLIEiJ_G0016050
mus_pahari MGP_PahariEiJ_G0016841
rattus_norvegicus ENSRNOG00000051487
meriones_unguiculatus ENSMUGG00000023526
nannospalax_galili ENSNGAG00000011633
panthera_tigris ENSPTIG00000015193
panthera_pardus ENSPPRG00000017203
felis_catus ENSFCAG00000004240
loxodonta_africana ENSLAFG00000008827
procavia_capensis ENSPCAG00000002456
ovis_aries ENSOARG00000003201
capra_hircus ENSCHIG00000020431
bos_indicus ENSBIXG00000013629
bos_indicus ENSBIXG00005029695
bos_taurus ENSBTAG00000009773
bos_mutus ENSBMUG00000025110
bison_bison ENSBBBG00000010582
phascolarctos_cinereus ENSPCIG00000006207
vombatus_ursinus ENSVURG00010010195
notamacropus_eugenii ENSMEUG00000007031
sarcophilus_harrisii ENSSHAG00000004264
monodelphis_domestica ENSMODG00000014939
ornithorhynchus_anatinus ENSOANG00000008814
lepidothrix_coronata ENSLCOG00000012502
manacus_vitellinus ENSMVIG00005014955
parus_major ENSPMJG00000013431
cyanistes_caeruleus ENSCCEG00000016026
taeniopygia_guttata ENSTGUG00000007958
lonchura_striata ENSLSDG00000012573
serinus_canaria ENSSCAG00000005513
zonotrichia_albicollis ENSZALG00000001351
junco_hyemalis ENSJHYG00000015448
ficedula_albicollis ENSFALG00000008290
calidris_pygmaea ENSCPGG00000001497
calidris_pugnax ENSCPUG00000006066
melopsittacus_undulatus ENSMUNG00000013162
anser_brachyrhynchus ENSABRG00000022290
