oryctolagus_cuniculus ENSOCUG00000029170
ochotona_princeps ENSOPRG00000006662
urocitellus_parryii ENSUPAG00010021337
pan_troglodytes ENSPTRG00000010912
pan_paniscus ENSPPAG00000030207
homo_sapiens ENSG00000171817
gorilla_gorilla ENSGGOG00000028183
pongo_abelii ENSPPYG00000009917
nomascus_leucogenys ENSNLEG00000016978
piliocolobus_tephrosceles ENSPTEG00000012924
colobus_angolensis_palliatus ENSCANG00000012169
rhinopithecus_bieti ENSRBIG00000029084
rhinopithecus_roxellana ENSRROG00000002447
macaca_mulatta ENSMMUG00000011092
macaca_fascicularis ENSMFAG00000039415
macaca_nemestrina ENSMNEG00000045007
cercocebus_atys ENSCATG00000007444
papio_anubis ENSPANG00000010572
theropithecus_gelada ENSTGEG00000006497
mandrillus_leucophaeus ENSMLEG00000030195
chlorocebus_sabaeus ENSCSAG00000004153
cebus_capucinus ENSCCAG00000034058
saimiri_boliviensis_boliviensis ENSSBOG00000021306
callithrix_jacchus ENSCJAG00000013430
aotus_nancymaae ENSANAG00000036289
tursiops_truncatus ENSTTRG00000002578
