seriola_dumerili ENSSDUG00000011220
scophthalmus_maximus ENSSMAG00000001278
labrus_bergylta ENSLBEG00000025710
astatotilapia_calliptera ENSACLG00000027407
monopterus_albus ENSMALG00000009795
mastacembelus_armatus ENSMAMG00000005105
takifugu_rubripes ENSTRUG00000022159
haplochromis_burtoni ENSHBUG00000015095
maylandia_zebra ENSMZEG00005003670
pundamilia_nyererei ENSPNYG00000008175
neolamprologus_brichardi ENSNBRG00000001161
esox_lucius ENSELUG00000000707
pygocentrus_nattereri ENSPNAG00000019593
astyanax_mexicanus ENSAMXG00000036679
ictalurus_punctatus ENSIPUG00000004249
danio_rerio ENSDARG00000075206
