equus_asinus_asinus ENSEASG00005018643
equus_caballus ENSECAG00000032756
equus_caballus ENSECAG00000022371
ursus_maritimus ENSUMAG00000014447
ursus_maritimus ENSUMAG00000002249
ailuropoda_melanoleuca ENSAMEG00000010815
mustela_putorius_furo ENSMPUG00000013235
neovison_vison ENSNVIG00000001497
canis_lupus_familiaris ENSCAFG00000023589
canis_lupus_familiaris ENSCAFG00000015211
canis_lupus_dingo ENSCAFG00020002641
canis_lupus_dingo ENSCAFG00020002661
vulpes_vulpes ENSVVUG00000022583
ovis_aries ENSOARG00000016213
capra_hircus ENSCHIG00000012694
bos_mutus ENSBMUG00000000282
bos_taurus ENSBTAG00000037800
bison_bison_bison ENSBBBG00000005287
tursiops_truncatus ENSTTRG00000009395
pteropus_vampyrus ENSPVAG00000004045
pteropus_vampyrus ENSPVAG00000016865
microcebus_murinus ENSMICG00000043748
microcebus_murinus ENSMICG00000047191
propithecus_coquereli ENSPCOG00000016357
otolemur_garnettii ENSOGAG00000032518
otolemur_garnettii ENSOGAG00000024822
saimiri_boliviensis_boliviensis ENSSBOG00000021384
cebus_capucinus ENSCCAG00000033147
cebus_capucinus ENSCCAG00000032232
aotus_nancymaae ENSANAG00000028416
cebus_capucinus ENSCCAG00000032509
saimiri_boliviensis_boliviensis ENSSBOG00000025673
aotus_nancymaae ENSANAG00000027961
saimiri_boliviensis_boliviensis ENSSBOG00000023468
callithrix_jacchus ENSCJAG00000023368
saimiri_boliviensis_boliviensis ENSSBOG00000026566
aotus_nancymaae ENSANAG00000031271
cebus_capucinus ENSCCAG00000030928
saimiri_boliviensis_boliviensis ENSSBOG00000029091
callithrix_jacchus ENSCJAG00000011578
aotus_nancymaae ENSANAG00000020573
saimiri_boliviensis_boliviensis ENSSBOG00000018208
pan_troglodytes ENSPTRG00000014387
pan_paniscus ENSPPAG00000033277
gorilla_gorilla ENSGGOG00000013750
homo_sapiens ENSG00000239713
pongo_abelii ENSPPYG00000011833
nomascus_leucogenys ENSNLEG00000018922
theropithecus_gelada ENSTGEG00000010338
mandrillus_leucophaeus ENSMLEG00000024444
chlorocebus_sabaeus ENSCSAG00000006376
macaca_nemestrina ENSMNEG00000038847
macaca_mulatta ENSMMUG00000039346
macaca_fascicularis ENSMFAG00000044711
rhinopithecus_bieti ENSRBIG00000035436
colobus_angolensis_palliatus ENSCANG00000029968
piliocolobus_tephrosceles ENSPTEG00000034598
theropithecus_gelada ENSTGEG00000012283
piliocolobus_tephrosceles ENSPTEG00000019150
ochotona_princeps ENSOPRG00000002326
oryctolagus_cuniculus ENSOCUG00000023532
cercocebus_atys ENSCATG00000028713
pan_paniscus ENSPPAG00000031519
myotis_lucifugus ENSMLUG00000014565
myotis_lucifugus ENSMLUG00000023022
myotis_lucifugus ENSMLUG00000008631
myotis_lucifugus ENSMLUG00000000977
myotis_lucifugus ENSMLUG00000026771
myotis_lucifugus ENSMLUG00000024957
myotis_lucifugus ENSMLUG00000024853
myotis_lucifugus ENSMLUG00000022226
myotis_lucifugus ENSMLUG00000000517
myotis_lucifugus ENSMLUG00000028652
procavia_capensis ENSPCAG00000015518
procavia_capensis ENSPCAG00000001848
loxodonta_africana ENSLAFG00000005275
loxodonta_africana ENSLAFG00000020906
loxodonta_africana ENSLAFG00000008890
dasypus_novemcinctus ENSDNOG00000039749
hippocampus_comes ENSHCOG00000007604
