periophthalmus_magnuspinnatus ENSPMGG00000008790
seriola_lalandi_dorsalis ENSSLDG00000025405
seriola_lalandi_dorsalis ENSSLDG00000011517
gadus_morhua ENSGMOG00000005717
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0014438
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0015242
mus_pahari MGP_PahariEiJ_G0027674
mus_spicilegus ENSMSIG00000016819
peromyscus_maniculatus_bairdii ENSPEMG00000027773
oryctolagus_cuniculus ENSOCUG00000022859
pan_paniscus ENSPPAG00000035237
pan_troglodytes ENSPTRG00000043111
gorilla_gorilla ENSGGOG00000038932
nomascus_leucogenys ENSNLEG00000032488
microcebus_murinus ENSMICG00000045673
panthera_pardus ENSPPRG00000006327
panthera_tigris_altaica ENSPTIG00000002700
felis_catus ENSFCAG00000026351
dasypus_novemcinctus ENSDNOG00000037749
serinus_canaria ENSSCAG00000008996
