bos_taurus ENSBTAG00000049881
bos_mutus ENSBMUG00000006545
bos_indicus ENSBIXG00000027941
bos_indicus ENSBIXG00005006524
bison_bison ENSBBBG00000001106
ovis_aries ENSOARG00000013385
equus_caballus ENSECAG00000043476
piliocolobus_tephrosceles ENSPTEG00000032505
carlito_syrichta ENSTSYG00000030176
mus_spicilegus ENSMSIG00000017986
mus_spretus MGP_SPRETEiJ_G0032963
mus_musculus ENSMUSG00000059475
mus_caroli MGP_CAROLIEiJ_G0031839
mus_pahari MGP_PahariEiJ_G0014705
rattus_norvegicus ENSRNOG00000033624
meriones_unguiculatus ENSMUGG00000020438
cricetulus_griseus ENSCGRG00000017964
cricetulus_griseus ENSCGRG00001008196
cricetulus_griseus ENSCGRG00015024092
mesocricetus_auratus ENSMAUG00000010146
peromyscus_maniculatus ENSPEMG00000011985
microtus_ochrogaster ENSMOCG00000019624
nannospalax_galili ENSNGAG00000008341
jaculus_jaculus ENSJJAG00000021796
castor_canadensis ENSCCNG00000029991
heterocephalus_glaber ENSHGLG00000009845
heterocephalus_glaber ENSHGLG00100007174
fukomys_damarensis ENSFDAG00000017803
oryctolagus_cuniculus ENSOCUG00000003251
pan_paniscus ENSPPAG00000027305
pan_troglodytes ENSPTRG00000010447
homo_sapiens ENSG00000130818
gorilla_gorilla ENSGGOG00000014083
pongo_abelii ENSPPYG00000009529
nomascus_leucogenys ENSNLEG00000011985
colobus_angolensis ENSCANG00000042536
piliocolobus_tephrosceles ENSPTEG00000032472
rhinopithecus_bieti ENSRBIG00000038581
rhinopithecus_roxellana ENSRROG00000003263
theropithecus_gelada ENSTGEG00000023437
mandrillus_leucophaeus ENSMLEG00000032707
papio_anubis ENSPANG00000017259
cercocebus_atys ENSCATG00000041277
macaca_fascicularis ENSMFAG00000030946
macaca_nemestrina ENSMNEG00000038890
macaca_mulatta ENSMMUG00000005694
chlorocebus_sabaeus ENSCSAG00000007667
saimiri_boliviensis ENSSBOG00000033589
callithrix_jacchus ENSCJAG00000006145
cebus_capucinus ENSCCAG00000035400
aotus_nancymaae ENSANAG00000020402
carlito_syrichta ENSTSYG00000030132
propithecus_coquereli ENSPCOG00000022116
prolemur_simus ENSPSMG00000020871
mus_spretus MGP_SPRETEiJ_G0032965
