tetraodon_nigroviridis ENSTNIG00000003226
cynoglossus_semilaevis ENSCSEG00000003052
fundulus_heteroclitus ENSFHEG00000007214
cyprinodon_variegatus ENSCVAG00000005315
xiphophorus_maculatus ENSXMAG00000001855
gambusia_affinis ENSGAFG00000021697
poecilia_latipinna ENSPLAG00000018141
poecilia_latipinna ENSPLAG00000006879
poecilia_formosa ENSPFOG00000003494
poecilia_mexicana ENSPMEG00000010749
poecilia_mexicana ENSPMEG00000001221
poecilia_reticulata ENSPREG00000012334
oryzias_latipes ENSORLG00000001407
oryzias_latipes_asm223469v1 ENSORLG00015001896
oryzias_latipes ENSORLG00020005753
oryzias_melastigma ENSOMEG00000009967
mastacembelus_armatus ENSMAMG00000023967
monopterus_albus ENSMALG00000016115
anabas_testudineus ENSATEG00000002648
seriola_dumerili ENSSDUG00000007862
seriola_lalandi_dorsalis ENSSLDG00000025029
scophthalmus_maximus ENSSMAG00000001519
amphiprion_ocellaris ENSAOCG00000008512
amphiprion_percula ENSAPEG00000017021
acanthochromis_polyacanthus ENSAPOG00000015802
stegastes_partitus ENSSPAG00000001191
haplochromis_burtoni ENSHBUG00000008813
pundamilia_nyererei ENSPNYG00000005652
astatotilapia_calliptera ENSACLG00000024667
maylandia_zebra ENSMZEG00005009342
neolamprologus_brichardi ENSNBRG00000002232
oreochromis_niloticus ENSONIG00000019040
amphilophus_citrinellus ENSACIG00000022470
kryptolebias_marmoratus ENSKMAG00000019831
labrus_bergylta ENSLBEG00000018042
gasterosteus_aculeatus ENSGACG00000000786
hippocampus_comes ENSHCOG00000000111
hippocampus_comes ENSHCOG00000004148
periophthalmus_magnuspinnatus ENSPMGG00000020289
gadus_morhua ENSGMOG00000007691
esox_lucius ENSELUG00000016553
pygocentrus_nattereri ENSPNAG00000016877
astyanax_mexicanus ENSAMXG00000002264
ictalurus_punctatus ENSIPUG00000017421
danio_rerio ENSDARG00000060398
scleropages_formosus ENSSFOG00015020939
paramormyrops_kingsleyae ENSPKIG00000020189
lepisosteus_oculatus ENSLOCG00000014475
phascolarctos_cinereus ENSPCIG00000018674
notamacropus_eugenii ENSMEUG00000014516
sarcophilus_harrisii ENSSHAG00000002393
monodelphis_domestica ENSMODG00000010659
pan_paniscus ENSPPAG00000035449
pan_troglodytes ENSPTRG00000015022
homo_sapiens ENSG00000163933
gorilla_gorilla ENSGGOG00000003201
pongo_abelii ENSPPYG00000013790
nomascus_leucogenys ENSNLEG00000007206
macaca_fascicularis ENSMFAG00000034584
macaca_mulatta ENSMMUG00000016197
macaca_nemestrina ENSMNEG00000033072
cercocebus_atys ENSCATG00000042644
mandrillus_leucophaeus ENSMLEG00000041509
theropithecus_gelada ENSTGEG00000029023
papio_anubis ENSPANG00000020233
chlorocebus_sabaeus ENSCSAG00000013064
rhinopithecus_bieti ENSRBIG00000009631
rhinopithecus_roxellana ENSRROG00000003165
piliocolobus_tephrosceles ENSPTEG00000016739
colobus_angolensis_palliatus ENSCANG00000009415
cebus_capucinus ENSCCAG00000038099
callithrix_jacchus ENSCJAG00000007179
saimiri_boliviensis_boliviensis ENSSBOG00000035256
aotus_nancymaae ENSANAG00000031288
carlito_syrichta ENSTSYG00000010710
propithecus_coquereli ENSPCOG00000015998
microcebus_murinus ENSMICG00000010892
prolemur_simus ENSPSMG00000004562
otolemur_garnettii ENSOGAG00000003296
homo_sapiens ENSG00000272305
tupaia_belangeri ENSTBEG00000011392
chinchilla_lanigera ENSCLAG00000006553
octodon_degus ENSODEG00000006717
cavia_porcellus ENSCPOG00000010793
heterocephalus_glaber_male ENSHGLG00100015607
heterocephalus_glaber_female ENSHGLG00000007981
fukomys_damarensis ENSFDAG00000016477
urocitellus_parryii ENSUPAG00010012824
ictidomys_tridecemlineatus ENSSTOG00000004551
spermophilus_dauricus ENSSDAG00000018523
marmota_marmota_marmota ENSMMMG00000011472
dipodomys_ordii ENSDORG00000008359
castor_canadensis ENSCCNG00000030750
mus_spicilegus ENSMSIG00000028844
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0019938
mus_musculus ENSMUSG00000052395
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0019053
mus_pahari MGP_PahariEiJ_G0030070
rattus_norvegicus ENSRNOG00000021805
meriones_unguiculatus ENSMUGG00000026865
cricetulus_griseus_chok1gshd ENSCGRG00001004189
cricetulus_griseus_crigri ENSCGRG00000007666
cricetulus_griseus_crigri-picr ENSCGRG00015027967
mesocricetus_auratus ENSMAUG00000002114
microtus_ochrogaster ENSMOCG00000014616
peromyscus_maniculatus_bairdii ENSPEMG00000009645
nannospalax_galili ENSNGAG00000019039
nannospalax_galili ENSNGAG00000024343
jaculus_jaculus ENSJJAG00000022919
oryctolagus_cuniculus ENSOCUG00000004546
ochotona_princeps ENSOPRG00000011020
pteropus_vampyrus ENSPVAG00000016278
myotis_lucifugus ENSMLUG00000015532
ursus_americanus ENSUAMG00000007383
ursus_maritimus ENSUMAG00000020253
ailuropoda_melanoleuca ENSAMEG00000008029
neovison_vison ENSNVIG00000022953
mustela_putorius_furo ENSMPUG00000016813
canis_lupus_familiaris ENSCAFG00000008732
canis_lupus_dingo ENSCAFG00020004528
vulpes_vulpes ENSVVUG00000023786
panthera_pardus ENSPPRG00000006535
panthera_tigris_altaica ENSPTIG00000021481
felis_catus ENSFCAG00000030958
equus_asinus_asinus ENSEASG00005014945
equus_caballus ENSECAG00000023042
ovis_aries ENSOARG00000000381
capra_hircus ENSCHIG00000015387
bos_taurus ENSBTAG00000020973
bos_mutus ENSBMUG00000000348
bison_bison_bison ENSBBBG00000008294
tursiops_truncatus ENSTTRG00000002310
sus_scrofa ENSSSCG00000034614
vicugna_pacos ENSVPAG00000000871
erinaceus_europaeus ENSEEUG00000010779
sorex_araneus ENSSARG00000005269
loxodonta_africana ENSLAFG00000002792
procavia_capensis ENSPCAG00000002212
echinops_telfairi ENSETEG00000014943
dasypus_novemcinctus ENSDNOG00000012005
choloepus_hoffmanni ENSCHOG00000007263
ornithorhynchus_anatinus ENSOANG00000022204
ornithorhynchus_anatinus ENSOANG00000010451
lepidothrix_coronata ENSLCOG00000003369
manacus_vitellinus ENSMVIG00005013411
cyanistes_caeruleus ENSCCEG00000024292
parus_major ENSPMJG00000005361
ficedula_albicollis ENSFALG00000003488
taeniopygia_guttata ENSTGUG00000005422
taeniopygia_guttata ENSTGUG00000004531
lonchura_striata_domestica ENSLSDG00000017566
zonotrichia_albicollis ENSZALG00000017501
junco_hyemalis ENSJHYG00000011362
serinus_canaria ENSSCAG00000001160
melopsittacus_undulatus ENSMUNG00000007497
calidris_pygmaea ENSCPGG00000015146
calidris_pugnax ENSCPUG00000012001
anser_brachyrhynchus ENSABRG00000015476
anas_platyrhynchos_platyrhynchos ENSAPLG00000003368
gallus_gallus ENSGALG00000001945
coturnix_japonica ENSCJPG00005007649
meleagris_gallopavo ENSMGAG00000016382
numida_meleagris ENSNMEG00000008838
apteryx_owenii ENSAOWG00000010025
apteryx_rowi ENSARWG00000014050
apteryx_haastii ENSAHAG00000015188
dromaius_novaehollandiae ENSDNVG00000003680
nothoprocta_perdicaria ENSNPEG00000003313
crocodylus_porosus ENSCPRG00005014385
chelonoidis_abingdonii ENSCABG00000003429
gopherus_agassizii ENSGAGG00000020682
chrysemys_picta_bellii ENSCPBG00000018405
pelodiscus_sinensis ENSPSIG00000017497
pogona_vitticeps ENSPVIG00000018936
anolis_carolinensis ENSACAG00000008376
notechis_scutatus ENSNSUG00000018626
salvator_merianae ENSSMRG00000014837
sphenodon_punctatus ENSSPUG00000003032
xenopus_tropicalis ENSXETG00000031244
latimeria_chalumnae ENSLACG00000011113
eptatretus_burgeri ENSEBUG00000003338
petromyzon_marinus ENSPMAG00000001557
ciona_intestinalis ENSCING00000001773
ciona_savignyi ENSCSAVG00000002785
drosophila_melanogaster FBgn0027564
caenorhabditis_elegans_strain_n2 WBGene00022677
saccharomyces_cerevisiae YBL020W
