poecilia_latipinna ENSPLAG00000008633
poecilia_mexicana ENSPMEG00000020332
poecilia_reticulata ENSPREG00000010436
xiphophorus_couchianus ENSXCOG00000017137
fundulus_heteroclitus ENSFHEG00000018854
oryzias_melastigma ENSOMEG00000022890
amphiprion_ocellaris ENSAOCG00000016273
amphilophus_citrinellus ENSACIG00000013012
periophthalmus_magnuspinnatus ENSPMGG00000015561
poecilia_mexicana ENSPMEG00000009699
gambusia_affinis ENSGAFG00000003822
fundulus_heteroclitus ENSFHEG00000012679
oryzias_latipes_asm223469v1 ENSORLG00015015390
maylandia_zebra ENSMZEG00005026485
neolamprologus_brichardi ENSNBRG00000017941
mastacembelus_armatus ENSMAMG00000001938
tetraodon_nigroviridis ENSTNIG00000001374
takifugu_rubripes ENSTRUG00000023410
astyanax_mexicanus ENSAMXG00000042022
paramormyrops_kingsleyae ENSPKIG00000025474
