seriola_lalandi_dorsalis ENSSLDG00000001955
seriola_dumerili ENSSDUG00000015744
scophthalmus_maximus ENSSMAG00000018568
hippocampus_comes ENSHCOG00000009355
hippocampus_comes ENSHCOG00000009368
fundulus_heteroclitus ENSFHEG00000003015
cyprinodon_variegatus ENSCVAG00000021280
poecilia_formosa ENSPFOG00000011715
poecilia_latipinna ENSPLAG00000022944
poecilia_reticulata ENSPREG00000016500
poecilia_mexicana ENSPMEG00000009223
xiphophorus_maculatus ENSXMAG00000009652
xiphophorus_couchianus ENSXCOG00000001980
gambusia_affinis ENSGAFG00000001599
kryptolebias_marmoratus ENSKMAG00000010944
oryzias_latipes_asm223469v1 ENSORLG00015000516
oryzias_latipes ENSORLG00000003079
oryzias_latipes ENSORLG00020017855
oryzias_melastigma ENSOMEG00000020007
maylandia_zebra ENSMZEG00005003715
astatotilapia_calliptera ENSACLG00000014863
pundamilia_nyererei ENSPNYG00000016050
haplochromis_burtoni ENSHBUG00000011532
oreochromis_niloticus ENSONIG00000005202
neolamprologus_brichardi ENSNBRG00000003832
amphilophus_citrinellus ENSACIG00000014372
amphiprion_ocellaris ENSAOCG00000018489
amphiprion_percula ENSAPEG00000011066
acanthochromis_polyacanthus ENSAPOG00000005078
stegastes_partitus ENSSPAG00000019454
takifugu_rubripes ENSTRUG00000008161
tetraodon_nigroviridis ENSTNIG00000016776
mola_mola ENSMMOG00000003094
labrus_bergylta ENSLBEG00000001251
gasterosteus_aculeatus ENSGACG00000017694
monopterus_albus ENSMALG00000013311
mastacembelus_armatus ENSMAMG00000001041
anabas_testudineus ENSATEG00000013438
cynoglossus_semilaevis ENSCSEG00000012115
periophthalmus_magnuspinnatus ENSPMGG00000018188
gadus_morhua ENSGMOG00000012257
esox_lucius ENSELUG00000000116
pygocentrus_nattereri ENSPNAG00000025398
astyanax_mexicanus ENSAMXG00000011138
ictalurus_punctatus ENSIPUG00000000619
danio_rerio ENSDARG00000016531
paramormyrops_kingsleyae ENSPKIG00000001029
scleropages_formosus ENSSFOG00015001096
lepisosteus_oculatus ENSLOCG00000013889
apteryx_owenii ENSAOWG00000005442
apteryx_haastii ENSAHAG00000003788
apteryx_rowi ENSARWG00000004426
dromaius_novaehollandiae ENSDNVG00000000655
nothoprocta_perdicaria ENSNPEG00000006325
lepidothrix_coronata ENSLCOG00000002687
manacus_vitellinus ENSMVIG00005009515
parus_major ENSPMJG00000004550
cyanistes_caeruleus ENSCCEG00000004405
lonchura_striata_domestica ENSLSDG00000008034
taeniopygia_guttata ENSTGUG00000002398
zonotrichia_albicollis ENSZALG00000015319
junco_hyemalis ENSJHYG00000008832
serinus_canaria ENSSCAG00000002939
ficedula_albicollis ENSFALG00000003968
melopsittacus_undulatus ENSMUNG00000013728
calidris_pygmaea ENSCPGG00000019093
calidris_pugnax ENSCPUG00000002752
anser_brachyrhynchus ENSABRG00000011210
anas_platyrhynchos_platyrhynchos ENSAPLG00000005695
gallus_gallus ENSGALG00000006877
