cottoperca_gobio ENSCGOG00000008026
gasterosteus_aculeatus ENSGACG00000004040
labrus_bergylta ENSLBEG00000019451
parambassis_ranga ENSPRNG00000019353
parambassis_ranga ENSPRNG00000019350
seriola_lalandi ENSSLDG00000010760
seriola_dumerili ENSSDUG00000017075
monopterus_albus ENSMALG00000015957
scophthalmus_maximus ENSSMAG00000004925
amphiprion_percula ENSAPEG00000021295
stegastes_partitus ENSSPAG00000009323
acanthochromis_polyacanthus ENSAPOG00000003517
cynoglossus_semilaevis ENSCSEG00000002275
hippocampus_comes ENSHCOG00000007829
mola_mola ENSMMOG00000020203
lates_calcarifer ENSLCAG00010010539
gouania_willdenowi ENSGWIG00000012247
oryzias_latipes ENSORLG00020002484
oryzias_latipes ENSORLG00015016962
oryzias_latipes ENSORLG00000001527
oryzias_melastigma ENSOMEG00000013155
gadus_morhua ENSGMOG00000004749
esox_lucius ENSELUG00000012657
hucho_hucho ENSHHUG00000001763
astyanax_mexicanus ENSAMXG00000039518
astyanax_mexicanus ENSAMXG00005005318
electrophorus_electricus ENSEEEG00000001157
paramormyrops_kingsleyae ENSPKIG00000015566
scleropages_formosus ENSSFOG00015016333
