propithecus_coquereli ENSPCOG00000022922
prolemur_simus ENSPSMG00000025288
microcebus_murinus ENSMICG00000032866
rhinopithecus_roxellana ENSRROG00000024776
rhinopithecus_bieti ENSRBIG00000030691
colobus_angolensis_palliatus ENSCANG00000019298
piliocolobus_tephrosceles ENSPTEG00000024381
theropithecus_gelada ENSTGEG00000018331
papio_anubis ENSPANG00000035518
macaca_nemestrina ENSMNEG00000010399
macaca_mulatta ENSMMUG00000045917
macaca_fascicularis ENSMFAG00000005891
cercocebus_atys ENSCATG00000020579
mandrillus_leucophaeus ENSMLEG00000005098
pan_troglodytes ENSPTRG00000047143
pan_paniscus ENSPPAG00000023330
nomascus_leucogenys ENSNLEG00000030366
castor_canadensis ENSCCNG00000028056
equus_caballus ENSECAG00000039090
equus_asinus_asinus ENSEASG00005010188
neovison_vison ENSNVIG00000024030
bos_taurus ENSBTAG00000051469
bos_mutus ENSBMUG00000023962
capra_hircus ENSCHIG00000013359
sus_scrofa ENSSSCG00000034462
