felis_catus ENSFCAG00000042433
ailuropoda_melanoleuca ENSAMEG00000000891
erinaceus_europaeus ENSEEUG00000006753
pan_troglodytes ENSPTRG00000050496
pan_paniscus ENSPPAG00000043640
gorilla_gorilla ENSGGOG00000043198
pongo_abelii ENSPPYG00000001563
nomascus_leucogenys ENSNLEG00000003521
theropithecus_gelada ENSTGEG00000018110
papio_anubis ENSPANG00000030367
chlorocebus_sabaeus ENSCSAG00000001079
cercocebus_atys ENSCATG00000043216
macaca_mulatta ENSMMUG00000004999
macaca_fascicularis ENSMFAG00000036305
macaca_nemestrina ENSMNEG00000033692
mandrillus_leucophaeus ENSMLEG00000033529
rhinopithecus_bieti ENSRBIG00000023057
rhinopithecus_roxellana ENSRROG00000044714
piliocolobus_tephrosceles ENSPTEG00000020843
echinops_telfairi ENSETEG00000015527
notamacropus_eugenii ENSMEUG00000000896
