amphiprion_ocellaris ENSAOCG00000016543
amphiprion_percula ENSAPEG00000007310
acanthochromis_polyacanthus ENSAPOG00000008814
stegastes_partitus ENSSPAG00000006511
astatotilapia_calliptera ENSACLG00000024191
haplochromis_burtoni ENSHBUG00000015386
oreochromis_niloticus ENSONIG00000016393
anabas_testudineus ENSATEG00000010433
monopterus_albus ENSMALG00000003849
seriola_lalandi ENSSLDG00000015516
seriola_dumerili ENSSDUG00000008674
scophthalmus_maximus ENSSMAG00000002802
hippocampus_comes ENSHCOG00000000903
hippocampus_comes ENSHCOG00000000901
labrus_bergylta ENSLBEG00000017893
mastacembelus_armatus ENSMAMG00000013162
mola_mola ENSMMOG00000021531
kryptolebias_marmoratus ENSKMAG00000018866
xiphophorus_maculatus ENSXMAG00000029288
gambusia_affinis ENSGAFG00000017367
poecilia_reticulata ENSPREG00000000331
poecilia_latipinna ENSPLAG00000002743
cyprinodon_variegatus ENSCVAG00000000262
fundulus_heteroclitus ENSFHEG00000010941
periophthalmus_magnuspinnatus ENSPMGG00000023575
gadus_morhua ENSGMOG00000010675
gadus_morhua ENSGMOG00000010664
