coturnix_japonica ENSCJPG00005009962
meleagris_gallopavo ENSMGAG00000007085
gallus_gallus ENSGALG00000010839
numida_meleagris ENSNMEG00000014864
melopsittacus_undulatus ENSMUNG00000015195
dromaius_novaehollandiae ENSDNVG00000000809
apteryx_owenii ENSAOWG00000003248
nothoprocta_perdicaria ENSNPEG00000012856
zonotrichia_albicollis ENSZALG00000011133
junco_hyemalis ENSJHYG00000010087
lonchura_striata_domestica ENSLSDG00000009782
parus_major ENSPMJG00000001714
lepidothrix_coronata ENSLCOG00000014941
anas_platyrhynchos_platyrhynchos ENSAPLG00000005667
calidris_pugnax ENSCPUG00000006990
calidris_pygmaea ENSCPGG00000010478
serinus_canaria ENSSCAG00000010167
manacus_vitellinus ENSMVIG00005012730
taeniopygia_guttata ENSTGUG00000006441
ficedula_albicollis ENSFALG00000011582
cyanistes_caeruleus ENSCCEG00000000568
apteryx_rowi ENSARWG00000018765
apteryx_haastii ENSAHAG00000016431
anser_brachyrhynchus ENSABRG00000016019
crocodylus_porosus ENSCPRG00005011423
gopherus_agassizii ENSGAGG00000025380
chelonoidis_abingdonii ENSCABG00000023086
chrysemys_picta_bellii ENSCPBG00000003333
pelodiscus_sinensis ENSPSIG00000009649
anolis_carolinensis ENSACAG00000005945
pogona_vitticeps ENSPVIG00000000866
notechis_scutatus ENSNSUG00000009681
salvator_merianae ENSSMRG00000009459
sphenodon_punctatus ENSSPUG00000010524
pongo_abelii ENSPPYG00000015218
pongo_abelii ENSPPYG00000010598
gorilla_gorilla ENSGGOG00000023323
homo_sapiens ENSG00000129128
pan_troglodytes ENSPTRG00000016615
rhinopithecus_bieti ENSRBIG00000033432
rhinopithecus_roxellana ENSRROG00000039858
piliocolobus_tephrosceles ENSPTEG00000020200
colobus_angolensis_palliatus ENSCANG00000031253
macaca_nemestrina ENSMNEG00000036272
macaca_fascicularis ENSMFAG00000001302
macaca_mulatta ENSMMUG00000022784
papio_anubis ENSPANG00000005000
theropithecus_gelada ENSTGEG00000022628
