scleropages_formosus ENSSFOG00015020298
paramormyrops_kingsleyae ENSPKIG00000009909
tetraodon_nigroviridis ENSTNIG00000013663
takifugu_rubripes ENSTRUG00000008877
mola_mola ENSMMOG00000004541
gasterosteus_aculeatus ENSGACG00000004873
monopterus_albus ENSMALG00000006212
cyprinodon_variegatus ENSCVAG00000008330
fundulus_heteroclitus ENSFHEG00000002534
xiphophorus_couchianus ENSXCOG00000014813
xiphophorus_maculatus ENSXMAG00000003058
gambusia_affinis ENSGAFG00000018600
poecilia_formosa ENSPFOG00000019330
poecilia_latipinna ENSPLAG00000002420
poecilia_mexicana ENSPMEG00000008944
poecilia_reticulata ENSPREG00000002288
kryptolebias_marmoratus ENSKMAG00000017834
oryzias_latipes ENSORLG00000012613
oryzias_latipes_asm223469v1 ENSORLG00015005084
oryzias_latipes ENSORLG00020004918
oryzias_melastigma ENSOMEG00000001200
amphiprion_percula ENSAPEG00000010996
amphiprion_ocellaris ENSAOCG00000003189
acanthochromis_polyacanthus ENSAPOG00000016558
stegastes_partitus ENSSPAG00000004686
haplochromis_burtoni ENSHBUG00000014531
pundamilia_nyererei ENSPNYG00000003595
maylandia_zebra ENSMZEG00005018661
astatotilapia_calliptera ENSACLG00000005506
oreochromis_niloticus ENSONIG00000006331
neolamprologus_brichardi ENSNBRG00000011895
amphilophus_citrinellus ENSACIG00000000568
labrus_bergylta ENSLBEG00000011416
scophthalmus_maximus ENSSMAG00000017236
cynoglossus_semilaevis ENSCSEG00000019458
seriola_dumerili ENSSDUG00000007331
seriola_lalandi_dorsalis ENSSLDG00000020279
anabas_testudineus ENSATEG00000023505
mastacembelus_armatus ENSMAMG00000010986
periophthalmus_magnuspinnatus ENSPMGG00000006284
hippocampus_comes ENSHCOG00000002172
gadus_morhua ENSGMOG00000009264
esox_lucius ENSELUG00000008883
pygocentrus_nattereri ENSPNAG00000012181
astyanax_mexicanus ENSAMXG00000034817
ictalurus_punctatus ENSIPUG00000004012
danio_rerio ENSDARG00000100598
lepisosteus_oculatus ENSLOCG00000012173
