mandrillus_leucophaeus ENSMLEG00000041355
macaca_nemestrina ENSMNEG00000034039
theropithecus_gelada ENSTGEG00000007189
rhinopithecus_bieti ENSRBIG00000028793
rhinopithecus_roxellana ENSRROG00000040045
piliocolobus_tephrosceles ENSPTEG00000018277
chlorocebus_sabaeus ENSCSAG00000004191
macaca_fascicularis ENSMFAG00000011565
papio_anubis ENSPANG00000012955
macaca_mulatta ENSMMUG00000042552
cercocebus_atys ENSCATG00000036354
colobus_angolensis_palliatus ENSCANG00000029902
pan_paniscus ENSPPAG00000037669
pan_troglodytes ENSPTRG00000043313
gorilla_gorilla ENSGGOG00000043749
nomascus_leucogenys ENSNLEG00000027524
