saimiri_boliviensis_boliviensis ENSSBOG00000032161
cebus_capucinus ENSCCAG00000026000
aotus_nancymaae ENSANAG00000026311
callithrix_jacchus ENSCJAG00000048147
pan_paniscus ENSPPAG00000036588
pan_troglodytes ENSPTRG00000002429
homo_sapiens ENSG00000198105
gorilla_gorilla ENSGGOG00000016885
pongo_abelii ENSPPYG00000002202
nomascus_leucogenys ENSNLEG00000008682
papio_anubis ENSPANG00000022741
theropithecus_gelada ENSTGEG00000011140
mandrillus_leucophaeus ENSMLEG00000031024
cercocebus_atys ENSCATG00000015021
macaca_mulatta ENSMMUG00000010741
macaca_fascicularis ENSMFAG00000000364
macaca_nemestrina ENSMNEG00000033566
chlorocebus_sabaeus ENSCSAG00000011166
rhinopithecus_roxellana ENSRROG00000038816
rhinopithecus_bieti ENSRBIG00000039000
colobus_angolensis_palliatus ENSCANG00000032003
piliocolobus_tephrosceles ENSPTEG00000017586
carlito_syrichta ENSTSYG00000027880
propithecus_coquereli ENSPCOG00000015840
microcebus_murinus ENSMICG00000035972
prolemur_simus ENSPSMG00000013246
otolemur_garnettii ENSOGAG00000029260
tupaia_belangeri ENSTBEG00000002389
castor_canadensis ENSCCNG00000013089
dipodomys_ordii ENSDORG00000006195
mus_musculus ENSMUSG00000030145
mus_spicilegus ENSMSIG00000005178
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0029817
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0028786
mus_pahari MGP_PahariEiJ_G0022540
rattus_norvegicus ENSRNOG00000037251
meriones_unguiculatus ENSMUGG00000012619
cricetulus_griseus_chok1gshd ENSCGRG00001019890
cricetulus_griseus_crigri ENSCGRG00000007214
cricetulus_griseus_crigri-picr ENSCGRG00015006263
mesocricetus_auratus ENSMAUG00000017783
microtus_ochrogaster ENSMOCG00000003976
peromyscus_maniculatus_bairdii ENSPEMG00000002822
nannospalax_galili ENSNGAG00000012155
jaculus_jaculus ENSJJAG00000016734
cavia_porcellus ENSCPOG00000031663
cavia_aperea ENSCAPG00000005911
octodon_degus ENSODEG00000004951
chinchilla_lanigera ENSCLAG00000002382
heterocephalus_glaber_male ENSHGLG00100003086
heterocephalus_glaber_female ENSHGLG00000000433
fukomys_damarensis ENSFDAG00000020619
urocitellus_parryii ENSUPAG00010022194
spermophilus_dauricus ENSSDAG00000006766
marmota_marmota_marmota ENSMMMG00000020218
ictidomys_tridecemlineatus ENSSTOG00000023212
oryctolagus_cuniculus ENSOCUG00000009791
ochotona_princeps ENSOPRG00000016243
theropithecus_gelada ENSTGEG00000028409
ursus_maritimus ENSUMAG00000012447
ursus_americanus ENSUAMG00000022959
ailuropoda_melanoleuca ENSAMEG00000001023
neovison_vison ENSNVIG00000024399
mustela_putorius_furo ENSMPUG00000006471
canis_lupus_dingo ENSCAFG00020025231
canis_lupus_familiaris ENSCAFG00000009629
vulpes_vulpes ENSVVUG00000010906
panthera_tigris_altaica ENSPTIG00000010952
panthera_pardus ENSPPRG00000014937
felis_catus ENSFCAG00000009055
equus_asinus_asinus ENSEASG00005006887
equus_caballus ENSECAG00000008481
capra_hircus ENSCHIG00000010946
ovis_aries ENSOARG00000003883
bos_taurus ENSBTAG00000013592
bos_mutus ENSBMUG00000008705
bison_bison_bison ENSBBBG00000012699
sus_scrofa ENSSSCG00000037204
tursiops_truncatus ENSTTRG00000003732
vicugna_pacos ENSVPAG00000002222
pteropus_vampyrus ENSPVAG00000012375
myotis_lucifugus ENSMLUG00000003873
erinaceus_europaeus ENSEEUG00000003533
sorex_araneus ENSSARG00000001057
propithecus_coquereli ENSPCOG00000006302
ailuropoda_melanoleuca ENSAMEG00000001027
prolemur_simus ENSPSMG00000003842
loxodonta_africana ENSLAFG00000003918
procavia_capensis ENSPCAG00000016125
dasypus_novemcinctus ENSDNOG00000006482
