xiphophorus_maculatus ENSXMAG00000025885
fundulus_heteroclitus ENSFHEG00000007021
oryzias_latipes_asm223469v1 ENSORLG00015019364
haplochromis_burtoni ENSHBUG00000023247
maylandia_zebra ENSMZEG00005002718
mastacembelus_armatus ENSMAMG00000005730
amphiprion_percula ENSAPEG00000003928
cynoglossus_semilaevis ENSCSEG00000014791
gambusia_affinis ENSGAFG00000013745
poecilia_reticulata ENSPREG00000015960
scophthalmus_maximus ENSSMAG00000003849
seriola_lalandi_dorsalis ENSSLDG00000017082
poecilia_mexicana ENSPMEG00000014624
poecilia_reticulata ENSPREG00000015940
astatotilapia_calliptera ENSACLG00000020402
ictalurus_punctatus ENSIPUG00000016157
