dromaius_novaehollandiae ENSDNVG00000013324
apteryx_rowi ENSARWG00000003422
junco_hyemalis ENSJHYG00000016449
zonotrichia_albicollis ENSZALG00000000563
serinus_canaria ENSSCAG00000013339
taeniopygia_guttata ENSTGUG00000012308
lonchura_striata ENSLSDG00000007704
parus_major ENSPMJG00000014906
cyanistes_caeruleus ENSCCEG00000010069
ficedula_albicollis ENSFALG00000014437
manacus_vitellinus ENSMVIG00005007441
lepidothrix_coronata ENSLCOG00000007310
melopsittacus_undulatus ENSMUNG00000013033
calidris_pugnax ENSCPUG00000012891
gallus_gallus ENSGALG00000016981
pelodiscus_sinensis ENSPSIG00000000167
salvator_merianae ENSSMRG00000000410
