sarcophilus_harrisii ENSSHAG00000006120
ornithorhynchus_anatinus ENSOANG00000011448
coturnix_japonica ENSCJPG00005000228
pogona_vitticeps ENSPVIG00000017253
salvator_merianae ENSSMRG00000013580
latimeria_chalumnae ENSLACG00000002359
takifugu_rubripes ENSTRUG00000024209
tetraodon_nigroviridis ENSTNIG00000019208
mola_mola ENSMMOG00000008317
labrus_bergylta ENSLBEG00000019191
gasterosteus_aculeatus ENSGACG00000012832
anabas_testudineus ENSATEG00000002861
monopterus_albus ENSMALG00000007084
seriola_lalandi_dorsalis ENSSLDG00000019422
poecilia_reticulata ENSPREG00000004906
poecilia_formosa ENSPFOG00000018639
xiphophorus_maculatus ENSXMAG00000022720
cyprinodon_variegatus ENSCVAG00000004208
oryzias_latipes ENSORLG00000022457
oryzias_latipes_asm223469v1 ENSORLG00015015842
oryzias_latipes ENSORLG00020002649
astatotilapia_calliptera ENSACLG00000024109
haplochromis_burtoni ENSHBUG00000015782
amphiprion_percula ENSAPEG00000013949
hippocampus_comes ENSHCOG00000006346
gadus_morhua ENSGMOG00000012376
esox_lucius ENSELUG00000022107
pygocentrus_nattereri ENSPNAG00000003949
astyanax_mexicanus ENSAMXG00000004023
paramormyrops_kingsleyae ENSPKIG00000008589
poecilia_reticulata ENSPREG00000001046
poecilia_formosa ENSPFOG00000014454
xiphophorus_couchianus ENSXCOG00000011547
xiphophorus_maculatus ENSXMAG00000013054
gambusia_affinis ENSGAFG00000017661
fundulus_heteroclitus ENSFHEG00000012888
cyprinodon_variegatus ENSCVAG00000020090
kryptolebias_marmoratus ENSKMAG00000010582
oryzias_latipes ENSORLG00020003414
oryzias_latipes_asm223469v1 ENSORLG00015002527
oryzias_latipes ENSORLG00000024325
oryzias_melastigma ENSOMEG00000020895
maylandia_zebra ENSMZEG00005015068
astatotilapia_calliptera ENSACLG00000005645
pundamilia_nyererei ENSPNYG00000001798
haplochromis_burtoni ENSHBUG00000008414
neolamprologus_brichardi ENSNBRG00000018931
amphilophus_citrinellus ENSACIG00000005951
acanthochromis_polyacanthus ENSAPOG00000018443
amphiprion_ocellaris ENSAOCG00000008163
stegastes_partitus ENSSPAG00000014285
seriola_lalandi_dorsalis ENSSLDG00000017030
seriola_dumerili ENSSDUG00000004949
scophthalmus_maximus ENSSMAG00000010533
mastacembelus_armatus ENSMAMG00000021116
periophthalmus_magnuspinnatus ENSPMGG00000009479
esox_lucius ENSELUG00000012298
pygocentrus_nattereri ENSPNAG00000001260
astyanax_mexicanus ENSAMXG00000016215
danio_rerio ENSDARG00000111326
lepisosteus_oculatus ENSLOCG00000015564
