dasypus_novemcinctus ENSDNOG00000037914
choloepus_hoffmanni ENSCHOG00000007543
loxodonta_africana ENSLAFG00000009092
procavia_capensis ENSPCAG00000004800
echinops_telfairi ENSETEG00000017453
cricetulus_griseus_crigri-picr ENSCGRG00015010603
cricetulus_griseus_chok1gshd ENSCGRG00001024925
cricetulus_griseus_crigri ENSCGRG00000005134
mesocricetus_auratus ENSMAUG00000018810
microtus_ochrogaster ENSMOCG00000004171
peromyscus_maniculatus_bairdii ENSPEMG00000019873
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0015586
mus_spicilegus ENSMSIG00000022900
mus_musculus ENSMUSG00000095576
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0014779
mus_pahari MGP_PahariEiJ_G0028016
rattus_norvegicus ENSRNOG00000049851
meriones_unguiculatus ENSMUGG00000011576
nannospalax_galili ENSNGAG00000016687
jaculus_jaculus ENSJJAG00000000583
ictidomys_tridecemlineatus ENSSTOG00000003848
urocitellus_parryii ENSUPAG00010010456
spermophilus_dauricus ENSSDAG00000012080
marmota_marmota_marmota ENSMMMG00000018109
heterocephalus_glaber_female ENSHGLG00000016135
heterocephalus_glaber_male ENSHGLG00100004261
oryctolagus_cuniculus ENSOCUG00000005169
ochotona_princeps ENSOPRG00000011021
pan_troglodytes ENSPTRG00000001671
pan_paniscus ENSPPAG00000039907
gorilla_gorilla ENSGGOG00000025654
pongo_abelii ENSPPYG00000000518
nomascus_leucogenys ENSNLEG00000031939
rhinopithecus_roxellana ENSRROG00000043065
rhinopithecus_bieti ENSRBIG00000041790
piliocolobus_tephrosceles ENSPTEG00000016351
colobus_angolensis_palliatus ENSCANG00000039658
theropithecus_gelada ENSTGEG00000009404
cercocebus_atys ENSCATG00000004801
macaca_fascicularis ENSMFAG00000033160
macaca_nemestrina ENSMNEG00000030234
macaca_mulatta ENSMMUG00000007956
cebus_capucinus ENSCCAG00000033729
saimiri_boliviensis_boliviensis ENSSBOG00000030497
aotus_nancymaae ENSANAG00000037549
carlito_syrichta ENSTSYG00000010540
tupaia_belangeri ENSTBEG00000005237
ursus_maritimus ENSUMAG00000017766
ursus_americanus ENSUAMG00000018044
ailuropoda_melanoleuca ENSAMEG00000017069
neovison_vison ENSNVIG00000024993
mustela_putorius_furo ENSMPUG00000015598
canis_lupus_dingo ENSCAFG00020022057
canis_lupus_familiaris ENSCAFG00000023620
vulpes_vulpes ENSVVUG00000025155
panthera_pardus ENSPPRG00000013519
panthera_tigris_altaica ENSPTIG00000008869
felis_catus ENSFCAG00000008430
erinaceus_europaeus ENSEEUG00000011370
vicugna_pacos ENSVPAG00000005148
sus_scrofa ENSSSCG00000022759
capra_hircus ENSCHIG00000011205
ovis_aries ENSOARG00000012370
bos_mutus ENSBMUG00000021236
bos_taurus ENSBTAG00000047256
bison_bison_bison ENSBBBG00000015774
myotis_lucifugus ENSMLUG00000005807
pteropus_vampyrus ENSPVAG00000009550
notamacropus_eugenii ENSMEUG00000013477
phascolarctos_cinereus ENSPCIG00000022950
sarcophilus_harrisii ENSSHAG00000016322
monodelphis_domestica ENSMODG00000003658
