poecilia_mexicana ENSPMEG00000014260
poecilia_reticulata ENSPREG00000009392
gambusia_affinis ENSGAFG00000019869
xiphophorus_maculatus ENSXMAG00000024831
xiphophorus_couchianus ENSXCOG00000015790
cyprinodon_variegatus ENSCVAG00000017673
amphiprion_ocellaris ENSAOCG00000022273
acanthochromis_polyacanthus ENSAPOG00000000958
oryzias_latipes ENSORLG00020020568
oryzias_latipes ENSORLG00000030626
oryzias_latipes_asm223469v1 ENSORLG00015010041
oryzias_melastigma ENSOMEG00000017028
monopterus_albus ENSMALG00000010653
maylandia_zebra ENSMZEG00005005806
astatotilapia_calliptera ENSACLG00000019332
haplochromis_burtoni ENSHBUG00000014160
neolamprologus_brichardi ENSNBRG00000022814
amphilophus_citrinellus ENSACIG00000010852
seriola_dumerili ENSSDUG00000018828
seriola_lalandi_dorsalis ENSSLDG00000022355
anabas_testudineus ENSATEG00000015909
astyanax_mexicanus ENSAMXG00000041789
scleropages_formosus ENSSFOG00015005046
