scleropages_formosus ENSSFOG00015019086
paramormyrops_kingsleyae ENSPKIG00000007049
danio_rerio ENSDARG00000058050
ictalurus_punctatus ENSIPUG00000016003
fundulus_heteroclitus ENSFHEG00000019201
cyprinodon_variegatus ENSCVAG00000010313
xiphophorus_maculatus ENSXMAG00000017705
xiphophorus_couchianus ENSXCOG00000012246
gambusia_affinis ENSGAFG00000008516
poecilia_formosa ENSPFOG00000010727
poecilia_latipinna ENSPLAG00000016890
poecilia_mexicana ENSPMEG00000011456
poecilia_reticulata ENSPREG00000010883
kryptolebias_marmoratus ENSKMAG00000019688
oryzias_latipes ENSORLG00000011272
oryzias_latipes ENSORLG00020002999
oryzias_latipes_asm223469v1 ENSORLG00015001292
oryzias_melastigma ENSOMEG00000010891
amphiprion_percula ENSAPEG00000004188
amphiprion_ocellaris ENSAOCG00000019702
acanthochromis_polyacanthus ENSAPOG00000020829
stegastes_partitus ENSSPAG00000001898
haplochromis_burtoni ENSHBUG00000019231
pundamilia_nyererei ENSPNYG00000017587
maylandia_zebra ENSMZEG00005010463
astatotilapia_calliptera ENSACLG00000010070
oreochromis_niloticus ENSONIG00000017133
neolamprologus_brichardi ENSNBRG00000002991
amphilophus_citrinellus ENSACIG00000005757
mastacembelus_armatus ENSMAMG00000020536
monopterus_albus ENSMALG00000007246
seriola_dumerili ENSSDUG00000001750
seriola_lalandi_dorsalis ENSSLDG00000024548
scophthalmus_maximus ENSSMAG00000005502
takifugu_rubripes ENSTRUG00000023296
tetraodon_nigroviridis ENSTNIG00000017702
mola_mola ENSMMOG00000001096
gasterosteus_aculeatus ENSGACG00000016239
labrus_bergylta ENSLBEG00000003923
hippocampus_comes ENSHCOG00000018110
anabas_testudineus ENSATEG00000020304
periophthalmus_magnuspinnatus ENSPMGG00000002047
cynoglossus_semilaevis ENSCSEG00000008289
gadus_morhua ENSGMOG00000013356
esox_lucius ENSELUG00000019343
lepisosteus_oculatus ENSLOCG00000016648
notamacropus_eugenii ENSMEUG00000003476
phascolarctos_cinereus ENSPCIG00000003253
sarcophilus_harrisii ENSSHAG00000014202
monodelphis_domestica ENSMODG00000006404
carlito_syrichta ENSTSYG00000031236
erinaceus_europaeus ENSEEUG00000005051
procavia_capensis ENSPCAG00000014500
tursiops_truncatus ENSTTRG00000005298
vicugna_pacos ENSVPAG00000009585
bos_mutus ENSBMUG00000010340
bos_taurus ENSBTAG00000033180
bison_bison_bison ENSBBBG00000011655
sus_scrofa ENSSSCG00000022034
panthera_pardus ENSPPRG00000007149
panthera_tigris_altaica ENSPTIG00000017118
felis_catus ENSFCAG00000038120
neovison_vison ENSNVIG00000003474
mustela_putorius_furo ENSMPUG00000015806
pteropus_vampyrus ENSPVAG00000000352
capra_hircus ENSCHIG00000019856
ovis_aries ENSOARG00000004482
equus_asinus_asinus ENSEASG00005005724
canis_lupus_familiaris ENSCAFG00000029171
oryctolagus_cuniculus ENSOCUG00000008229
ochotona_princeps ENSOPRG00000003382
choloepus_hoffmanni ENSCHOG00000005866
pan_paniscus ENSPPAG00000037519
pan_troglodytes ENSPTRG00000002187
homo_sapiens ENSG00000185420
gorilla_gorilla ENSGGOG00000034875
pongo_abelii ENSPPYG00000000047
nomascus_leucogenys ENSNLEG00000004133
piliocolobus_tephrosceles ENSPTEG00000002127
colobus_angolensis_palliatus ENSCANG00000032097
rhinopithecus_bieti ENSRBIG00000045007
rhinopithecus_roxellana ENSRROG00000034618
theropithecus_gelada ENSTGEG00000018199
papio_anubis ENSPANG00000005527
macaca_mulatta ENSMMUG00000005777
macaca_fascicularis ENSMFAG00000045761
macaca_nemestrina ENSMNEG00000034852
cercocebus_atys ENSCATG00000041127
cebus_capucinus ENSCCAG00000021189
saimiri_boliviensis_boliviensis ENSSBOG00000026164
callithrix_jacchus ENSCJAG00000016856
aotus_nancymaae ENSANAG00000032109
carlito_syrichta ENSTSYG00000009671
microcebus_murinus ENSMICG00000005665
prolemur_simus ENSPSMG00000021959
propithecus_coquereli ENSPCOG00000019858
tupaia_belangeri ENSTBEG00000007967
sorex_araneus ENSSARG00000010435
cricetulus_griseus_chok1gshd ENSCGRG00001018690
cricetulus_griseus_crigri ENSCGRG00000017350
cricetulus_griseus_crigri-picr ENSCGRG00015013472
microtus_ochrogaster ENSMOCG00000019317
peromyscus_maniculatus_bairdii ENSPEMG00000002180
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0015764
mus_spicilegus ENSMSIG00000005471
mus_musculus ENSMUSG00000055067
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0014965
mus_pahari MGP_PahariEiJ_G0028196
meriones_unguiculatus ENSMUGG00000006693
nannospalax_galili ENSNGAG00000014029
jaculus_jaculus ENSJJAG00000024434
dipodomys_ordii ENSDORG00000001030
chinchilla_lanigera ENSCLAG00000010031
octodon_degus ENSODEG00000012912
cavia_aperea ENSCAPG00000013687
cavia_porcellus ENSCPOG00000002655
heterocephalus_glaber_male ENSHGLG00100009541
heterocephalus_glaber_female ENSHGLG00000015190
fukomys_damarensis ENSFDAG00000010587
urocitellus_parryii ENSUPAG00010018170
ictidomys_tridecemlineatus ENSSTOG00000028065
marmota_marmota_marmota ENSMMMG00000024012
dasypus_novemcinctus ENSDNOG00000031226
echinops_telfairi ENSETEG00000015025
canis_lupus_familiaris ENSCAFG00000015864
canis_lupus_dingo ENSCAFG00020001053
vulpes_vulpes ENSVVUG00000000542
ailuropoda_melanoleuca ENSAMEG00000006618
ailuropoda_melanoleuca ENSAMEG00000006619
ursus_maritimus ENSUMAG00000013317
mustela_putorius_furo ENSMPUG00000015808
cercocebus_atys ENSCATG00000039137
mandrillus_leucophaeus ENSMLEG00000027714
otolemur_garnettii ENSOGAG00000010891
otolemur_garnettii ENSOGAG00000030964
spermophilus_dauricus ENSSDAG00000003206
heterocephalus_glaber_male ENSHGLG00100004740
castor_canadensis ENSCCNG00000022080
equus_asinus_asinus ENSEASG00005005726
ovis_aries ENSOARG00000004388
capra_hircus ENSCHIG00000013167
dasypus_novemcinctus ENSDNOG00000003571
mesocricetus_auratus ENSMAUG00000015084
loxodonta_africana ENSLAFG00000009695
myotis_lucifugus ENSMLUG00000003919
ornithorhynchus_anatinus ENSOANG00000019760
ornithorhynchus_anatinus ENSOANG00000019758
apteryx_owenii ENSAOWG00000018542
apteryx_owenii ENSAOWG00000018536
coturnix_japonica ENSCJPG00005013805
meleagris_gallopavo ENSMGAG00000011410
gallus_gallus ENSGALG00000010653
numida_meleagris ENSNMEG00000001110
anser_brachyrhynchus ENSABRG00000019096
anas_platyrhynchos_platyrhynchos ENSAPLG00000028273
melopsittacus_undulatus ENSMUNG00000016828
melopsittacus_undulatus ENSMUNG00000016827
calidris_pygmaea ENSCPGG00000006505
calidris_pygmaea ENSCPGG00000006521
junco_hyemalis ENSJHYG00000000446
junco_hyemalis ENSJHYG00000000839
zonotrichia_albicollis ENSZALG00000011446
taeniopygia_guttata ENSTGUG00000008385
ficedula_albicollis ENSFALG00000011563
cyanistes_caeruleus ENSCCEG00000003962
lepidothrix_coronata ENSLCOG00000009264
manacus_vitellinus ENSMVIG00005008593
dromaius_novaehollandiae ENSDNVG00000006840
dromaius_novaehollandiae ENSDNVG00000006813
