periophthalmus_magnuspinnatus ENSPMGG00000003119
cynoglossus_semilaevis ENSCSEG00000021080
xiphophorus_maculatus ENSXMAG00000009943
xiphophorus_couchianus ENSXCOG00000011120
gambusia_affinis ENSGAFG00000016617
poecilia_formosa ENSPFOG00000005134
poecilia_latipinna ENSPLAG00000001176
poecilia_mexicana ENSPMEG00000015057
poecilia_reticulata ENSPREG00000001660
fundulus_heteroclitus ENSFHEG00000018633
cyprinodon_variegatus ENSCVAG00000011599
kryptolebias_marmoratus ENSKMAG00000002783
oryzias_latipes ENSORLG00000006979
oryzias_latipes ENSORLG00020019665
oryzias_latipes_asm223469v1 ENSORLG00015019520
oryzias_melastigma ENSOMEG00000004449
oryzias_melastigma ENSOMEG00000002823
seriola_dumerili ENSSDUG00000007902
seriola_lalandi_dorsalis ENSSLDG00000022417
scophthalmus_maximus ENSSMAG00000005869
mastacembelus_armatus ENSMAMG00000015109
anabas_testudineus ENSATEG00000014075
tetraodon_nigroviridis ENSTNIG00000011046
takifugu_rubripes ENSTRUG00000011817
mola_mola ENSMMOG00000005839
gasterosteus_aculeatus ENSGACG00000017328
labrus_bergylta ENSLBEG00000016644
astatotilapia_calliptera ENSACLG00000023066
maylandia_zebra ENSMZEG00005019342
pundamilia_nyererei ENSPNYG00000010963
haplochromis_burtoni ENSHBUG00000007462
neolamprologus_brichardi ENSNBRG00000011778
oreochromis_niloticus ENSONIG00000017446
amphilophus_citrinellus ENSACIG00000018244
amphiprion_percula ENSAPEG00000012923
amphiprion_ocellaris ENSAOCG00000023470
acanthochromis_polyacanthus ENSAPOG00000024475
stegastes_partitus ENSSPAG00000009548
hippocampus_comes ENSHCOG00000005110
gadus_morhua ENSGMOG00000016241
esox_lucius ENSELUG00000015532
astyanax_mexicanus ENSAMXG00000019573
pygocentrus_nattereri ENSPNAG00000022826
ictalurus_punctatus ENSIPUG00000008137
ictalurus_punctatus ENSIPUG00000007849
ictalurus_punctatus ENSIPUG00000006461
danio_rerio ENSDARG00000016818
scleropages_formosus ENSSFOG00015017738
paramormyrops_kingsleyae ENSPKIG00000014165
