otolemur_garnettii ENSOGAG00000006286
prolemur_simus ENSPSMG00000004358
pan_troglodytes ENSPTRG00000042688
gorilla_gorilla ENSGGOG00000037214
homo_sapiens ENSG00000188000
pongo_abelii ENSPPYG00000009521
nomascus_leucogenys ENSNLEG00000019139
theropithecus_gelada ENSTGEG00000022905
macaca_mulatta ENSMMUG00000020967
chlorocebus_sabaeus ENSCSAG00000018833
tupaia_belangeri ENSTBEG00000009472
fukomys_damarensis ENSFDAG00000004321
castor_canadensis ENSCCNG00000001380
bos_indicus ENSBIXG00005024858
bos_mutus ENSBMUG00000016242
bison_bison ENSBBBG00000018267
bos_taurus ENSBTAG00000035396
capra_hircus ENSCHIG00000001750
vicugna_pacos ENSVPAG00000011055
sus_scrofa ENSSSCG00000049541
pteropus_vampyrus ENSPVAG00000002329
myotis_lucifugus ENSMLUG00000029001
ursus_americanus ENSUAMG00000016435
ursus_maritimus ENSUMAG00000014216
neovison_vison ENSNVIG00000015346
vulpes_vulpes ENSVVUG00000028289
canis_lupus ENSCAFG00000046909
panthera_tigris ENSPTIG00000008021
panthera_pardus ENSPPRG00000016094
felis_catus ENSFCAG00000044251
equus_asinus ENSEASG00005020306
equus_caballus ENSECAG00000031892
dasypus_novemcinctus ENSDNOG00000042398
choloepus_hoffmanni ENSCHOG00000000040
loxodonta_africana ENSLAFG00000007527
loxodonta_africana ENSLAFG00000029397
procavia_capensis ENSPCAG00000005370
