propithecus_coquereli ENSPCOG00000027679
prolemur_simus ENSPSMG00000024275
microcebus_murinus ENSMICG00000005387
ictidomys_tridecemlineatus ENSSTOG00000000985
marmota_marmota_marmota ENSMMMG00000018272
urocitellus_parryii ENSUPAG00010014775
spermophilus_dauricus ENSSDAG00000018328
chinchilla_lanigera ENSCLAG00000013610
cavia_porcellus ENSCPOG00000002659
heterocephalus_glaber_female ENSHGLG00000005452
heterocephalus_glaber_male ENSHGLG00100001345
fukomys_damarensis ENSFDAG00000007589
carlito_syrichta ENSTSYG00000011441
spermophilus_dauricus ENSSDAG00000018318
cebus_capucinus ENSCCAG00000028363
saimiri_boliviensis_boliviensis ENSSBOG00000024920
callithrix_jacchus ENSCJAG00000040768
aotus_nancymaae ENSANAG00000029537
pan_paniscus ENSPPAG00000026209
pan_troglodytes ENSPTRG00000020031
gorilla_gorilla ENSGGOG00000011093
homo_sapiens ENSG00000156011
pongo_abelii ENSPPYG00000018396
gorilla_gorilla ENSGGOG00000042914
nomascus_leucogenys ENSNLEG00000003131
rhinopithecus_bieti ENSRBIG00000032352
rhinopithecus_roxellana ENSRROG00000031531
colobus_angolensis_palliatus ENSCANG00000036816
piliocolobus_tephrosceles ENSPTEG00000023956
cercocebus_atys ENSCATG00000006235
theropithecus_gelada ENSTGEG00000022425
macaca_mulatta ENSMMUG00000016385
macaca_fascicularis ENSMFAG00000001770
macaca_nemestrina ENSMNEG00000028329
mandrillus_leucophaeus ENSMLEG00000012783
papio_anubis ENSPANG00000002437
chlorocebus_sabaeus ENSCSAG00000016719
otolemur_garnettii ENSOGAG00000029878
meriones_unguiculatus ENSMUGG00000027198
meriones_unguiculatus ENSMUGG00000027200
microtus_ochrogaster ENSMOCG00000011830
cricetulus_griseus_crigri ENSCGRG00000016853
cricetulus_griseus_crigri-picr ENSCGRG00015028498
cricetulus_griseus_chok1gshd ENSCGRG00001003130
peromyscus_maniculatus_bairdii ENSPEMG00000010495
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0032217
mus_musculus ENSMUSG00000030465
mus_spicilegus ENSMSIG00000031001
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0031101
mus_pahari MGP_PahariEiJ_G0021567
rattus_norvegicus ENSRNOG00000013884
nannospalax_galili ENSNGAG00000011710
nannospalax_galili ENSNGAG00000020859
jaculus_jaculus ENSJJAG00000003908
oryctolagus_cuniculus ENSOCUG00000022679
ochotona_princeps ENSOPRG00000014028
cavia_aperea ENSCAPG00000017457
octodon_degus ENSODEG00000006062
mesocricetus_auratus ENSMAUG00000017158
dipodomys_ordii ENSDORG00000025696
castor_canadensis ENSCCNG00000001052
tupaia_belangeri ENSTBEG00000013924
erinaceus_europaeus ENSEEUG00000013521
sorex_araneus ENSSARG00000009253
bos_mutus ENSBMUG00000002430
ursus_maritimus ENSUMAG00000025530
ursus_americanus ENSUAMG00000005858
neovison_vison ENSNVIG00000008094
canis_lupus_dingo ENSCAFG00020004459
dasypus_novemcinctus ENSDNOG00000044941
ornithorhynchus_anatinus ENSOANG00000014422
pteropus_vampyrus ENSPVAG00000000170
myotis_lucifugus ENSMLUG00000015363
bos_taurus ENSBTAG00000033137
bison_bison_bison ENSBBBG00000002247
capra_hircus ENSCHIG00000022134
ovis_aries ENSOARG00000004073
sus_scrofa ENSSSCG00000007034
tursiops_truncatus ENSTTRG00000013938
vicugna_pacos ENSVPAG00000010663
canis_lupus_familiaris ENSCAFG00000005301
vulpes_vulpes ENSVVUG00000001198
ailuropoda_melanoleuca ENSAMEG00000005746
mustela_putorius_furo ENSMPUG00000012884
panthera_tigris_altaica ENSPTIG00000017349
panthera_pardus ENSPPRG00000001690
felis_catus ENSFCAG00000033051
equus_caballus ENSECAG00000017483
equus_asinus_asinus ENSEASG00005012665
procavia_capensis ENSPCAG00000008944
echinops_telfairi ENSETEG00000005708
choloepus_hoffmanni ENSCHOG00000004033
dasypus_novemcinctus ENSDNOG00000024683
loxodonta_africana ENSLAFG00000014210
microtus_ochrogaster ENSMOCG00000018119
mesocricetus_auratus ENSMAUG00000018244
meriones_unguiculatus ENSMUGG00000025742
nannospalax_galili ENSNGAG00000022345
jaculus_jaculus ENSJJAG00000004392
cavia_aperea ENSCAPG00000009860
octodon_degus ENSODEG00000005985
castor_canadensis ENSCCNG00000001078
dipodomys_ordii ENSDORG00000028028
ursus_maritimus ENSUMAG00000025529
neovison_vison ENSNVIG00000003971
canis_lupus_dingo ENSCAFG00020004471
monodelphis_domestica ENSMODG00000023169
ornithorhynchus_anatinus ENSOANG00000005948
apteryx_owenii ENSAOWG00000016980
apteryx_haastii ENSAHAG00000006368
apteryx_rowi ENSARWG00000006989
nothoprocta_perdicaria ENSNPEG00000011340
gallus_gallus ENSGALG00000015428
meleagris_gallopavo ENSMGAG00000007595
parus_major ENSPMJG00000003315
gopherus_agassizii ENSGAGG00000018947
chelonoidis_abingdonii ENSCABG00000020810
chrysemys_picta_bellii ENSCPBG00000027499
sphenodon_punctatus ENSSPUG00000009490
xenopus_tropicalis ENSXETG00000004466
notamacropus_eugenii ENSMEUG00000011984
phascolarctos_cinereus ENSPCIG00000001776
taeniopygia_guttata ENSTGUG00000000293
lonchura_striata_domestica ENSLSDG00000013882
zonotrichia_albicollis ENSZALG00000007816
serinus_canaria ENSSCAG00000013417
ficedula_albicollis ENSFALG00000005018
cyanistes_caeruleus ENSCCEG00000009760
manacus_vitellinus ENSMVIG00005019911
lepidothrix_coronata ENSLCOG00000005516
calidris_pygmaea ENSCPGG00000003302
calidris_pugnax ENSCPUG00000010234
melopsittacus_undulatus ENSMUNG00000005651
coturnix_japonica ENSCJPG00005012376
gallus_gallus ENSGALG00000048151
numida_meleagris ENSNMEG00000004464
anser_brachyrhynchus ENSABRG00000009776
anas_platyrhynchos_platyrhynchos ENSAPLG00000002837
dromaius_novaehollandiae ENSDNVG00000000459
nothoprocta_perdicaria ENSNPEG00000011337
apteryx_haastii ENSAHAG00000006363
apteryx_rowi ENSARWG00000006992
apteryx_owenii ENSAOWG00000016978
parus_major ENSPMJG00000003304
crocodylus_porosus ENSCPRG00005014736
pelodiscus_sinensis ENSPSIG00000008019
anolis_carolinensis ENSACAG00000014078
pogona_vitticeps ENSPVIG00000003599
notechis_scutatus ENSNSUG00000019060
salvator_merianae ENSSMRG00000020673
gopherus_agassizii ENSGAGG00000000377
chelonoidis_abingdonii ENSCABG00000020805
chrysemys_picta_bellii ENSCPBG00000027497
sphenodon_punctatus ENSSPUG00000009525
xiphophorus_couchianus ENSXCOG00000002863
hippocampus_comes ENSHCOG00000003852
astyanax_mexicanus ENSAMXG00000010171
pygocentrus_nattereri ENSPNAG00000021622
ictalurus_punctatus ENSIPUG00000002000
danio_rerio ENSDARG00000104820
esox_lucius ENSELUG00000017662
paramormyrops_kingsleyae ENSPKIG00000025464
scleropages_formosus ENSSFOG00015006370
lepisosteus_oculatus ENSLOCG00000010844
latimeria_chalumnae ENSLACG00000000203
tetraodon_nigroviridis ENSTNIG00000011848
neolamprologus_brichardi ENSNBRG00000010121
dasypus_novemcinctus ENSDNOG00000042193
neolamprologus_brichardi ENSNBRG00000021321
paramormyrops_kingsleyae ENSPKIG00000001915
carlito_syrichta ENSTSYG00000032576
eptatretus_burgeri ENSEBUG00000004073
