junco_hyemalis ENSJHYG00000014614
zonotrichia_albicollis ENSZALG00000018241
serinus_canaria ENSSCAG00000016942
taeniopygia_guttata ENSTGUG00000003508
taeniopygia_guttata ENSTGUG00000014533
lonchura_striata ENSLSDG00000005036
ficedula_albicollis ENSFALG00000001535
cyanistes_caeruleus ENSCCEG00000020818
parus_major ENSPMJG00000011384
manacus_vitellinus ENSMVIG00005005900
lepidothrix_coronata ENSLCOG00000000027
calidris_pygmaea ENSCPGG00000010760
calidris_pugnax ENSCPUG00000001912
melopsittacus_undulatus ENSMUNG00000013831
anas_platyrhynchos ENSAPLG00000009282
anser_brachyrhynchus ENSABRG00000006451
gallus_gallus ENSGALG00000008559
coturnix_japonica ENSCJPG00005018794
meleagris_gallopavo ENSMGAG00000007563
numida_meleagris ENSNMEG00000000732
apteryx_owenii ENSAOWG00000008538
apteryx_haastii ENSAHAG00000012237
apteryx_rowi ENSARWG00000010227
nothoprocta_perdicaria ENSNPEG00000003814
dromaius_novaehollandiae ENSDNVG00000010083
crocodylus_porosus ENSCPRG00005005805
chelonoidis_abingdonii ENSCABG00000017514
gopherus_agassizii ENSGAGG00000008767
chrysemys_picta ENSCPBG00000012824
pelodiscus_sinensis ENSPSIG00000016808
pogona_vitticeps ENSPVIG00000023427
salvator_merianae ENSSMRG00000017744
anolis_carolinensis ENSACAG00000010679
notechis_scutatus ENSNSUG00000009994
sphenodon_punctatus ENSSPUG00000012949
castor_canadensis ENSCCNG00000021036
dipodomys_ordii ENSDORG00000012005
mus_musculus ENSMUSG00000031095
mus_spicilegus ENSMSIG00000023139
mus_spretus MGP_SPRETEiJ_G0034176
mus_caroli MGP_CAROLIEiJ_G0033018
mus_pahari MGP_PahariEiJ_G0031564
rattus_norvegicus ENSRNOG00000002585
meriones_unguiculatus ENSMUGG00000000633
microtus_ochrogaster ENSMOCG00000017082
microtus_ochrogaster ENSMOCG00000012444
peromyscus_maniculatus ENSPEMG00000008902
cricetulus_griseus ENSCGRG00015015071
cricetulus_griseus ENSCGRG00001000813
cricetulus_griseus ENSCGRG00000008144
cricetulus_griseus ENSCGRG00001011251
cricetulus_griseus ENSCGRG00000005449
cricetulus_griseus ENSCGRG00015003999
mesocricetus_auratus ENSMAUG00000002566
nannospalax_galili ENSNGAG00000013145
jaculus_jaculus ENSJJAG00000012005
heterocephalus_glaber ENSHGLG00100010358
heterocephalus_glaber ENSHGLG00100010441
heterocephalus_glaber ENSHGLG00000004487
heterocephalus_glaber ENSHGLG00100017313
heterocephalus_glaber ENSHGLG00000000828
heterocephalus_glaber ENSHGLG00100012588
heterocephalus_glaber ENSHGLG00100000982
fukomys_damarensis ENSFDAG00000018623
octodon_degus ENSODEG00000000736
chinchilla_lanigera ENSCLAG00000000183
chinchilla_lanigera ENSCLAG00000008331
cavia_porcellus ENSCPOG00000003522
marmota_marmota ENSMMMG00000006513
spermophilus_dauricus ENSSDAG00000009401
spermophilus_dauricus ENSSDAG00000006110
ictidomys_tridecemlineatus ENSSTOG00000009208
oryctolagus_cuniculus ENSOCUG00000015633
ochotona_princeps ENSOPRG00000017205
rhinopithecus_bieti ENSRBIG00000037533
rhinopithecus_bieti ENSRBIG00000031994
macaca_mulatta ENSMMUG00000009037
macaca_nemestrina ENSMNEG00000035305
macaca_fascicularis ENSMFAG00000042209
theropithecus_gelada ENSTGEG00000020671
cercocebus_atys ENSCATG00000045368
rhinopithecus_roxellana ENSRROG00000030442
piliocolobus_tephrosceles ENSPTEG00000026256
papio_anubis ENSPANG00000000965
mandrillus_leucophaeus ENSMLEG00000029540
chlorocebus_sabaeus ENSCSAG00000018338
colobus_angolensis ENSCANG00000029444
pan_paniscus ENSPPAG00000028593
pan_troglodytes ENSPTRG00000022240
gorilla_gorilla ENSGGOG00000011167
homo_sapiens ENSG00000158290
pongo_abelii ENSPPYG00000020686
nomascus_leucogenys ENSNLEG00000014981
callithrix_jacchus ENSCJAG00000002596
saimiri_boliviensis ENSSBOG00000029478
cebus_capucinus ENSCCAG00000022241
aotus_nancymaae ENSANAG00000037771
carlito_syrichta ENSTSYG00000002338
carlito_syrichta ENSTSYG00000029808
prolemur_simus ENSPSMG00000012225
microcebus_murinus ENSMICG00000014517
otolemur_garnettii ENSOGAG00000001282
tupaia_belangeri ENSTBEG00000007444
tursiops_truncatus ENSTTRG00000002963
vicugna_pacos ENSVPAG00000001800
sus_scrofa ENSSSCG00000029478
capra_hircus ENSCHIG00000021762
ovis_aries ENSOARG00000013252
bos_indicus ENSBIXG00005018843
bos_indicus ENSBIXG00005013205
bos_indicus ENSBIXG00000005654
bos_mutus ENSBMUG00000022570
bos_taurus ENSBTAG00000018569
erinaceus_europaeus ENSEEUG00000013801
equus_caballus ENSECAG00000023670
ursus_maritimus ENSUMAG00000021955
ursus_americanus ENSUAMG00000007316
ailuropoda_melanoleuca ENSAMEG00000000210
mustela_putorius ENSMPUG00000001419
neovison_vison ENSNVIG00000022565
canis_lupus ENSCAFG00000018537
canis_lupus ENSCAFG00020003894
vulpes_vulpes ENSVVUG00000028118
panthera_pardus ENSPPRG00000023346
panthera_tigris ENSPTIG00000011154
felis_catus ENSFCAG00000027979
pteropus_vampyrus ENSPVAG00000001914
