chelonoidis_abingdonii ENSCABG00000010816
chrysemys_picta_bellii ENSCPBG00000006769
gopherus_agassizii ENSGAGG00000002171
pelodiscus_sinensis ENSPSIG00000015338
apteryx_haastii ENSAHAG00000015554
apteryx_rowi ENSARWG00000007485
apteryx_owenii ENSAOWG00000012208
dromaius_novaehollandiae ENSDNVG00000006548
nothoprocta_perdicaria ENSNPEG00000000351
crocodylus_porosus ENSCPRG00005003910
pogona_vitticeps ENSPVIG00000023158
notechis_scutatus ENSNSUG00000011942
salvator_merianae ENSSMRG00000022829
anolis_carolinensis ENSACAG00000007416
sphenodon_punctatus ENSSPUG00000000086
xenopus_tropicalis ENSXETG00000025336
latimeria_chalumnae ENSLACG00000006544
ictalurus_punctatus ENSIPUG00000021096
pygocentrus_nattereri ENSPNAG00000018257
esox_lucius ENSELUG00000021334
lepisosteus_oculatus ENSLOCG00000003394
ciona_savignyi ENSCSAVG00000009994
ciona_intestinalis ENSCING00000004737
