cynoglossus_semilaevis ENSCSEG00000001751
periophthalmus_magnuspinnatus ENSPMGG00000014262
labrus_bergylta ENSLBEG00000010090
amphiprion_percula ENSAPEG00000019713
stegastes_partitus ENSSPAG00000002412
acanthochromis_polyacanthus ENSAPOG00000020919
maylandia_zebra ENSMZEG00005010907
pundamilia_nyererei ENSPNYG00000010360
amphilophus_citrinellus ENSACIG00000013052
oryzias_melastigma ENSOMEG00000004428
poecilia_formosa ENSPFOG00000022771
mola_mola ENSMMOG00000003739
hippocampus_comes ENSHCOG00000012186
seriola_lalandi_dorsalis ENSSLDG00000012496
anabas_testudineus ENSATEG00000003584
