echinops_telfairi ENSETEG00000015069
xenopus_tropicalis ENSXETG00000013352
latimeria_chalumnae ENSLACG00000008282
astyanax_mexicanus ENSAMXG00000006147
astyanax_mexicanus ENSAMXG00005015814
pygocentrus_nattereri ENSPNAG00000011122
electrophorus_electricus ENSEEEG00000021319
ictalurus_punctatus ENSIPUG00000018459
danio_rerio ENSDARG00000099664
clupea_harengus ENSCHAG00000005877
hucho_hucho ENSHHUG00000052491
hucho_hucho ENSHHUG00000032220
esox_lucius ENSELUG00000018562
mastacembelus_armatus ENSMAMG00000004364
anabas_testudineus ENSATEG00000019455
cyprinodon_variegatus ENSCVAG00000008311
fundulus_heteroclitus ENSFHEG00000017463
poecilia_formosa ENSPFOG00000017044
poecilia_latipinna ENSPLAG00000003526
poecilia_mexicana ENSPMEG00000003763
poecilia_reticulata ENSPREG00000007576
gambusia_affinis ENSGAFG00000018165
kryptolebias_marmoratus ENSKMAG00000002735
oryzias_latipes ENSORLG00020003228
oryzias_latipes ENSORLG00015000732
oryzias_latipes ENSORLG00000004841
oryzias_melastigma ENSOMEG00000008854
cottoperca_gobio ENSCGOG00000012200
mola_mola ENSMMOG00000006125
monopterus_albus ENSMALG00000002691
parambassis_ranga ENSPRNG00000015195
lates_calcarifer ENSLCAG00010023462
cynoglossus_semilaevis ENSCSEG00000017574
stegastes_partitus ENSSPAG00000023016
xiphophorus_maculatus ENSXMAG00000028994
larimichthys_crocea ENSLCRG00005009738
amphiprion_percula ENSAPEG00000014022
amphiprion_ocellaris ENSAOCG00000002728
amphiprion_ocellaris ENSAOCG00000015636
acanthochromis_polyacanthus ENSAPOG00000001778
stegastes_partitus ENSSPAG00000001493
takifugu_rubripes ENSTRUG00000022469
seriola_lalandi ENSSLDG00000016200
seriola_dumerili ENSSDUG00000011312
scophthalmus_maximus ENSSMAG00000007262
maylandia_zebra ENSMZEG00005004984
astatotilapia_calliptera ENSACLG00000009398
pundamilia_nyererei ENSPNYG00000000841
haplochromis_burtoni ENSHBUG00000007058
neolamprologus_brichardi ENSNBRG00000003280
amphilophus_citrinellus ENSACIG00000021690
labrus_bergylta ENSLBEG00000007275
labrus_bergylta ENSLBEG00000015563
hippocampus_comes ENSHCOG00000019809
periophthalmus_magnuspinnatus ENSPMGG00000011082
paramormyrops_kingsleyae ENSPKIG00000003365
denticeps_clupeoides ENSDCDG00000019974
xiphophorus_couchianus ENSXCOG00000007334
gouania_willdenowi ENSGWIG00000003704
gasterosteus_aculeatus ENSGACG00000015718
betta_splendens ENSBSLG00000021006
gadus_morhua ENSGMOG00000017613
scleropages_formosus ENSSFOG00015019844
lepisosteus_oculatus ENSLOCG00000005156
erpetoichthys_calabaricus ENSECRG00000017918
anolis_carolinensis ENSACAG00000025748
anolis_carolinensis ENSACAG00000027924
pogona_vitticeps ENSPVIG00000002391
notechis_scutatus ENSNSUG00000020006
salvator_merianae ENSSMRG00000017407
sphenodon_punctatus ENSSPUG00000002393
taeniopygia_guttata ENSTGUG00000006332
ficedula_albicollis ENSFALG00000006293
gallus_gallus ENSGALG00000006261
meleagris_gallopavo ENSMGAG00000008630
numida_meleagris ENSNMEG00000021012
anser_brachyrhynchus ENSABRG00000019458
calidris_pygmaea ENSCPGG00000012645
calidris_pugnax ENSCPUG00000003494
serinus_canaria ENSSCAG00000014087
lonchura_striata ENSLSDG00000011317
cyanistes_caeruleus ENSCCEG00000004915
manacus_vitellinus ENSMVIG00005005251
lepidothrix_coronata ENSLCOG00000003834
melopsittacus_undulatus ENSMUNG00000011516
anas_platyrhynchos ENSAPLG00000024886
coturnix_japonica ENSCJPG00005008274
junco_hyemalis ENSJHYG00000002828
zonotrichia_albicollis ENSZALG00000007414
parus_major ENSPMJG00000019424
apteryx_owenii ENSAOWG00000014554
apteryx_rowi ENSARWG00000015397
apteryx_haastii ENSAHAG00000001524
