hippocampus_comes ENSHCOG00000020341
periophthalmus_magnuspinnatus ENSPMGG00000005662
oryzias_latipes ENSORLG00020010354
oryzias_latipes_asm223469v1 ENSORLG00015010328
oryzias_latipes ENSORLG00000030334
oryzias_melastigma ENSOMEG00000005206
xiphophorus_couchianus ENSXCOG00000015009
xiphophorus_maculatus ENSXMAG00000023204
gambusia_affinis ENSGAFG00000021395
poecilia_formosa ENSPFOG00000015534
poecilia_latipinna ENSPLAG00000002087
poecilia_mexicana ENSPMEG00000019996
cyprinodon_variegatus ENSCVAG00000006271
fundulus_heteroclitus ENSFHEG00000014798
scophthalmus_maximus ENSSMAG00000020141
labrus_bergylta ENSLBEG00000016986
gasterosteus_aculeatus ENSGACG00000016454
mastacembelus_armatus ENSMAMG00000014461
anabas_testudineus ENSATEG00000008418
seriola_lalandi_dorsalis ENSSLDG00000018342
seriola_dumerili ENSSDUG00000020054
cynoglossus_semilaevis ENSCSEG00000009896
tetraodon_nigroviridis ENSTNIG00000005371
takifugu_rubripes ENSTRUG00000024159
monopterus_albus ENSMALG00000020274
amphiprion_ocellaris ENSAOCG00000017936
amphiprion_percula ENSAPEG00000004637
acanthochromis_polyacanthus ENSAPOG00000023887
stegastes_partitus ENSSPAG00000004908
maylandia_zebra ENSMZEG00005025117
astatotilapia_calliptera ENSACLG00000020544
pundamilia_nyererei ENSPNYG00000014062
haplochromis_burtoni ENSHBUG00000005862
neolamprologus_brichardi ENSNBRG00000012885
oreochromis_niloticus ENSONIG00000009639
amphilophus_citrinellus ENSACIG00000017434
gadus_morhua ENSGMOG00000005034
esox_lucius ENSELUG00000019302
pygocentrus_nattereri ENSPNAG00000006496
astyanax_mexicanus ENSAMXG00000033189
ictalurus_punctatus ENSIPUG00000012556
danio_rerio ENSDARG00000039850
paramormyrops_kingsleyae ENSPKIG00000008750
scleropages_formosus ENSSFOG00015013700
cyprinodon_variegatus ENSCVAG00000017913
cyprinodon_variegatus ENSCVAG00000004756
fundulus_heteroclitus ENSFHEG00000007338
xiphophorus_maculatus ENSXMAG00000006258
xiphophorus_couchianus ENSXCOG00000003736
poecilia_formosa ENSPFOG00000000707
poecilia_latipinna ENSPLAG00000004935
poecilia_mexicana ENSPMEG00000003079
