vicugna_pacos ENSVPAG00000011180
sus_scrofa ENSSSCG00000039400
bos_mutus ENSBMUG00000026877
bos_taurus ENSBTAG00000007035
bison_bison_bison ENSBBBG00000004582
capra_hircus ENSCHIG00000003024
tursiops_truncatus ENSTTRG00000001333
neovison_vison ENSNVIG00000023927
mustela_putorius_furo ENSMPUG00000018720
ursus_americanus ENSUAMG00000015394
felis_catus ENSFCAG00000026894
panthera_pardus ENSPPRG00000018868
equus_asinus_asinus ENSEASG00005019328
equus_caballus ENSECAG00000015541
prolemur_simus ENSPSMG00000011926
propithecus_coquereli ENSPCOG00000016134
microcebus_murinus ENSMICG00000046045
otolemur_garnettii ENSOGAG00000032642
pan_troglodytes ENSPTRG00000023775
pan_paniscus ENSPPAG00000003461
homo_sapiens ENSG00000197651
gorilla_gorilla ENSGGOG00000010742
pongo_abelii ENSPPYG00000004822
mandrillus_leucophaeus ENSMLEG00000035109
cercocebus_atys ENSCATG00000042384
theropithecus_gelada ENSTGEG00000001144
macaca_mulatta ENSMMUG00000010912
chlorocebus_sabaeus ENSCSAG00000003756
piliocolobus_tephrosceles ENSPTEG00000038181
colobus_angolensis_palliatus ENSCANG00000032896
rhinopithecus_bieti ENSRBIG00000028059
rhinopithecus_roxellana ENSRROG00000038633
saimiri_boliviensis_boliviensis ENSSBOG00000001585
callithrix_jacchus ENSCJAG00000019561
tupaia_belangeri ENSTBEG00000000635
castor_canadensis ENSCCNG00000023951
dipodomys_ordii ENSDORG00000028218
cricetulus_griseus_chok1gshd ENSCGRG00001007933
cricetulus_griseus_crigri-picr ENSCGRG00015007034
cricetulus_griseus_crigri ENSCGRG00000019697
mesocricetus_auratus ENSMAUG00000009078
microtus_ochrogaster ENSMOCG00000009249
peromyscus_maniculatus_bairdii ENSPEMG00000019732
mus_spicilegus ENSMSIG00000015509
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0016580
mus_musculus ENSMUSG00000047025
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0015761
mus_pahari MGP_PahariEiJ_G0031327
rattus_norvegicus ENSRNOG00000004875
meriones_unguiculatus ENSMUGG00000007289
nannospalax_galili ENSNGAG00000005210
chinchilla_lanigera ENSCLAG00000014412
octodon_degus ENSODEG00000008447
cavia_porcellus ENSCPOG00000023502
heterocephalus_glaber_male ENSHGLG00100000904
urocitellus_parryii ENSUPAG00010007261
ictidomys_tridecemlineatus ENSSTOG00000031809
marmota_marmota_marmota ENSMMMG00000020597
oryctolagus_cuniculus ENSOCUG00000013386
ochotona_princeps ENSOPRG00000013990
sorex_araneus ENSSARG00000013195
dasypus_novemcinctus ENSDNOG00000045768
choloepus_hoffmanni ENSCHOG00000007912
loxodonta_africana ENSLAFG00000010521
echinops_telfairi ENSETEG00000002575
vulpes_vulpes ENSVVUG00000011693
canis_lupus_dingo ENSCAFG00020022614
notamacropus_eugenii ENSMEUG00000014415
