saimiri_boliviensis_boliviensis ENSSBOG00000023943
cebus_capucinus ENSCCAG00000026586
callithrix_jacchus ENSCJAG00000048317
aotus_nancymaae ENSANAG00000037716
macaca_fascicularis ENSMFAG00000021616
macaca_nemestrina ENSMNEG00000011852
macaca_mulatta ENSMMUG00000038200
theropithecus_gelada ENSTGEG00000027920
papio_anubis ENSPANG00000035871
mandrillus_leucophaeus ENSMLEG00000018907
cercocebus_atys ENSCATG00000022370
colobus_angolensis_palliatus ENSCANG00000014343
piliocolobus_tephrosceles ENSPTEG00000024707
rhinopithecus_roxellana ENSRROG00000036261
rhinopithecus_bieti ENSRBIG00000044873
