seriola_dumerili ENSSDUG00000016306
seriola_lalandi_dorsalis ENSSLDG00000006625
scophthalmus_maximus ENSSMAG00000013183
labrus_bergylta ENSLBEG00000012530
mastacembelus_armatus ENSMAMG00000020596
monopterus_albus ENSMALG00000004427
anabas_testudineus ENSATEG00000009976
takifugu_rubripes ENSTRUG00000013934
tetraodon_nigroviridis ENSTNIG00000016379
mola_mola ENSMMOG00000015897
gasterosteus_aculeatus ENSGACG00000010127
fundulus_heteroclitus ENSFHEG00000001143
cyprinodon_variegatus ENSCVAG00000022057
xiphophorus_maculatus ENSXMAG00000003700
xiphophorus_couchianus ENSXCOG00000004706
gambusia_affinis ENSGAFG00000010295
poecilia_mexicana ENSPMEG00000013708
poecilia_latipinna ENSPLAG00000000897
poecilia_formosa ENSPFOG00000003553
poecilia_reticulata ENSPREG00000000790
kryptolebias_marmoratus ENSKMAG00000011872
oryzias_latipes ENSORLG00020009609
oryzias_latipes ENSORLG00000014927
oryzias_latipes_asm223469v1 ENSORLG00015004352
oryzias_melastigma ENSOMEG00000010678
maylandia_zebra ENSMZEG00005016828
astatotilapia_calliptera ENSACLG00000014922
pundamilia_nyererei ENSPNYG00000009401
haplochromis_burtoni ENSHBUG00000010878
neolamprologus_brichardi ENSNBRG00000017696
oreochromis_niloticus ENSONIG00000013514
amphilophus_citrinellus ENSACIG00000005314
amphiprion_percula ENSAPEG00000004123
amphiprion_ocellaris ENSAOCG00000003716
acanthochromis_polyacanthus ENSAPOG00000003636
stegastes_partitus ENSSPAG00000018646
cynoglossus_semilaevis ENSCSEG00000020640
periophthalmus_magnuspinnatus ENSPMGG00000017050
hippocampus_comes ENSHCOG00000011443
gadus_morhua ENSGMOG00000008997
danio_rerio ENSDARG00000005629
