denticeps_clupeoides ENSDCDG00000004763
clupea_harengus ENSCHAG00000014692
astyanax_mexicanus ENSAMXG00000032220
astyanax_mexicanus ENSAMXG00005024537
pygocentrus_nattereri ENSPNAG00000010333
ictalurus_punctatus ENSIPUG00000004089
electrophorus_electricus ENSEEEG00000019923
danio_rerio ENSDARG00000071426
gouania_willdenowi ENSGWIG00000002999
cynoglossus_semilaevis ENSCSEG00000013413
amphiprion_ocellaris ENSAOCG00000012251
amphiprion_percula ENSAPEG00000007005
acanthochromis_polyacanthus ENSAPOG00000014447
stegastes_partitus ENSSPAG00000009580
parambassis_ranga ENSPRNG00000019290
xiphophorus_maculatus ENSXMAG00000017011
gambusia_affinis ENSGAFG00000011043
poecilia_formosa ENSPFOG00000013902
poecilia_latipinna ENSPLAG00000020505
poecilia_reticulata ENSPREG00000008989
fundulus_heteroclitus ENSFHEG00000009536
cyprinodon_variegatus ENSCVAG00000013693
kryptolebias_marmoratus ENSKMAG00000009185
oryzias_melastigma ENSOMEG00000007258
oryzias_melastigma ENSOMEG00000008737
oryzias_latipes ENSORLG00000018749
mastacembelus_armatus ENSMAMG00000002917
monopterus_albus ENSMALG00000015343
anabas_testudineus ENSATEG00000004215
betta_splendens ENSBSLG00000014923
maylandia_zebra ENSMZEG00005004346
astatotilapia_calliptera ENSACLG00000026920
haplochromis_burtoni ENSHBUG00000009360
pundamilia_nyererei ENSPNYG00000004908
neolamprologus_brichardi ENSNBRG00000007694
oreochromis_niloticus ENSONIG00000008020
amphilophus_citrinellus ENSACIG00000009410
cottoperca_gobio ENSCGOG00000015549
gasterosteus_aculeatus ENSGACG00000003149
tetraodon_nigroviridis ENSTNIG00000006732
tetraodon_nigroviridis ENSTNIG00000000837
takifugu_rubripes ENSTRUG00000020471
mola_mola ENSMMOG00000020756
labrus_bergylta ENSLBEG00000027345
larimichthys_crocea ENSLCRG00005021578
seriola_dumerili ENSSDUG00000013785
seriola_lalandi ENSSLDG00000017811
scophthalmus_maximus ENSSMAG00000005995
lates_calcarifer ENSLCAG00010014086
hippocampus_comes ENSHCOG00000015486
gadus_morhua ENSGMOG00000004024
hucho_hucho ENSHHUG00000043118
hucho_hucho ENSHHUG00000001011
esox_lucius ENSELUG00000023258
scleropages_formosus ENSSFOG00015000294
paramormyrops_kingsleyae ENSPKIG00000008516
lepisosteus_oculatus ENSLOCG00000011171
erpetoichthys_calabaricus ENSECRG00000022152
caenorhabditis_elegans WBGene00010139
