fundulus_heteroclitus ENSFHEG00000012381
gambusia_affinis ENSGAFG00000016312
acanthochromis_polyacanthus ENSAPOG00000009587
pundamilia_nyererei ENSPNYG00000011895
astatotilapia_calliptera ENSACLG00000017207
haplochromis_burtoni ENSHBUG00000008400
mola_mola ENSMMOG00000008078
seriola_lalandi ENSSLDG00000005776
oryzias_latipes ENSORLG00000017209
oryzias_latipes ENSORLG00020014932
oryzias_latipes ENSORLG00015005921
scleropages_formosus ENSSFOG00015018290
spermophilus_dauricus ENSSDAG00000001873
cricetulus_griseus ENSCGRG00001007160
castor_canadensis ENSCCNG00000023449
aotus_nancymaae ENSANAG00000032486
capra_hircus ENSCHIG00000022301
ovis_aries ENSOARG00000012446
bos_mutus ENSBMUG00000012684
sus_scrofa ENSSSCG00000030991
panthera_pardus ENSPPRG00000016492
panthera_tigris ENSPTIG00000016560
felis_catus ENSFCAG00000046689
vulpes_vulpes ENSVVUG00000022196
loxodonta_africana ENSLAFG00000029968
dasypus_novemcinctus ENSDNOG00000031688
monodelphis_domestica ENSMODG00000020419
phascolarctos_cinereus ENSPCIG00000020899
sarcophilus_harrisii ENSSHAG00000016752
ornithorhynchus_anatinus ENSOANG00000012760
chelonoidis_abingdonii ENSCABG00000009477
pelodiscus_sinensis ENSPSIG00000000896
meleagris_gallopavo ENSMGAG00000016833
numida_meleagris ENSNMEG00000000446
melopsittacus_undulatus ENSMUNG00000014332
sphenodon_punctatus ENSSPUG00000016756
latimeria_chalumnae ENSLACG00000008125
