cyprinodon_variegatus ENSCVAG00000007595
fundulus_heteroclitus ENSFHEG00000007531
poecilia_formosa ENSPFOG00000020003
poecilia_mexicana ENSPMEG00000012554
poecilia_latipinna ENSPLAG00000011401
poecilia_reticulata ENSPREG00000015029
xiphophorus_couchianus ENSXCOG00000002935
xiphophorus_maculatus ENSXMAG00000019958
gambusia_affinis ENSGAFG00000013416
kryptolebias_marmoratus ENSKMAG00000022028
oryzias_latipes ENSORLG00020021391
oryzias_latipes_asm223469v1 ENSORLG00015018597
oryzias_latipes ENSORLG00000005764
oryzias_melastigma ENSOMEG00000014183
astatotilapia_calliptera ENSACLG00000019544
maylandia_zebra ENSMZEG00005002131
haplochromis_burtoni ENSHBUG00000022503
pundamilia_nyererei ENSPNYG00000005410
neolamprologus_brichardi ENSNBRG00000017289
oreochromis_niloticus ENSONIG00000020814
amphilophus_citrinellus ENSACIG00000012753
amphiprion_ocellaris ENSAOCG00000002448
acanthochromis_polyacanthus ENSAPOG00000019946
stegastes_partitus ENSSPAG00000002580
scophthalmus_maximus ENSSMAG00000002982
labrus_bergylta ENSLBEG00000027262
seriola_dumerili ENSSDUG00000003223
seriola_lalandi_dorsalis ENSSLDG00000017810
gasterosteus_aculeatus ENSGACG00000009931
monopterus_albus ENSMALG00000017560
mastacembelus_armatus ENSMAMG00000006077
anabas_testudineus ENSATEG00000009912
cynoglossus_semilaevis ENSCSEG00000013548
periophthalmus_magnuspinnatus ENSPMGG00000012932
hippocampus_comes ENSHCOG00000000499
takifugu_rubripes ENSTRUG00000017585
tetraodon_nigroviridis ENSTNIG00000000110
mola_mola ENSMMOG00000019543
gadus_morhua ENSGMOG00000013593
esox_lucius ENSELUG00000018557
pygocentrus_nattereri ENSPNAG00000008059
astyanax_mexicanus ENSAMXG00000012847
ictalurus_punctatus ENSIPUG00000002666
danio_rerio ENSDARG00000018426
scleropages_formosus ENSSFOG00015008594
paramormyrops_kingsleyae ENSPKIG00000014073
lepisosteus_oculatus ENSLOCG00000008570
pogona_vitticeps ENSPVIG00000002308
anolis_carolinensis ENSACAG00000002899
notechis_scutatus ENSNSUG00000013789
salvator_merianae ENSSMRG00000019335
sphenodon_punctatus ENSSPUG00000014012
calidris_pygmaea ENSCPGG00000015493
calidris_pugnax ENSCPUG00000003250
melopsittacus_undulatus ENSMUNG00000005582
parus_major ENSPMJG00000005693
cyanistes_caeruleus ENSCCEG00000011692
ficedula_albicollis ENSFALG00000002566
serinus_canaria ENSSCAG00000005102
lonchura_striata_domestica ENSLSDG00000009584
zonotrichia_albicollis ENSZALG00000012529
taeniopygia_guttata ENSTGUG00000001320
lepidothrix_coronata ENSLCOG00000005507
manacus_vitellinus ENSMVIG00005019692
anas_platyrhynchos_platyrhynchos ENSAPLG00000012964
anser_brachyrhynchus ENSABRG00000003795
coturnix_japonica ENSCJPG00005006039
meleagris_gallopavo ENSMGAG00000009618
gallus_gallus ENSGALG00000008229
numida_meleagris ENSNMEG00000014352
apteryx_owenii ENSAOWG00000017725
apteryx_rowi ENSARWG00000010548
apteryx_haastii ENSAHAG00000010590
dromaius_novaehollandiae ENSDNVG00000016585
nothoprocta_perdicaria ENSNPEG00000000403
crocodylus_porosus ENSCPRG00005011875
chelonoidis_abingdonii ENSCABG00000020915
gopherus_agassizii ENSGAGG00000015414
chrysemys_picta_bellii ENSCPBG00000010823
pelodiscus_sinensis ENSPSIG00000008652
phascolarctos_cinereus ENSPCIG00000004182
sarcophilus_harrisii ENSSHAG00000013162
monodelphis_domestica ENSMODG00000001001
heterocephalus_glaber_male ENSHGLG00100003001
heterocephalus_glaber_female ENSHGLG00000007013
fukomys_damarensis ENSFDAG00000005538
cavia_porcellus ENSCPOG00000013120
cavia_aperea ENSCAPG00000016731
octodon_degus ENSODEG00000006140
chinchilla_lanigera ENSCLAG00000002348
urocitellus_parryii ENSUPAG00010014930
marmota_marmota_marmota ENSMMMG00000020066
spermophilus_dauricus ENSSDAG00000013803
ictidomys_tridecemlineatus ENSSTOG00000004369
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0023198
mus_musculus ENSMUSG00000053644
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0022285
mus_spicilegus ENSMSIG00000026608
mus_pahari MGP_PahariEiJ_G0019018
rattus_norvegicus ENSRNOG00000014645
meriones_unguiculatus ENSMUGG00000014491
cricetulus_griseus_chok1gshd ENSCGRG00001012154
cricetulus_griseus_crigri-picr ENSCGRG00015007624
cricetulus_griseus_crigri ENSCGRG00000013971
cricetulus_griseus_chok1gshd ENSCGRG00001010729
cricetulus_griseus_chok1gshd ENSCGRG00001000208
cricetulus_griseus_crigri ENSCGRG00000012216
cricetulus_griseus_crigri-picr ENSCGRG00015001976
mesocricetus_auratus ENSMAUG00000001614
microtus_ochrogaster ENSMOCG00000012661
peromyscus_maniculatus_bairdii ENSPEMG00000005818
nannospalax_galili ENSNGAG00000003070
castor_canadensis ENSCCNG00000005645
dipodomys_ordii ENSDORG00000005733
jaculus_jaculus ENSJJAG00000018282
ochotona_princeps ENSOPRG00000009320
prolemur_simus ENSPSMG00000022541
microcebus_murinus ENSMICG00000007316
otolemur_garnettii ENSOGAG00000002475
vicugna_pacos ENSVPAG00000009734
mustela_putorius_furo ENSMPUG00000012808
erinaceus_europaeus ENSEEUG00000013874
dasypus_novemcinctus ENSDNOG00000039189
echinops_telfairi ENSETEG00000003858
pan_paniscus ENSPPAG00000015926
pan_troglodytes ENSPTRG00000046179
gorilla_gorilla ENSGGOG00000037102
homo_sapiens ENSG00000164904
pongo_abelii ENSPPYG00000025927
macaca_fascicularis ENSMFAG00000045191
macaca_nemestrina ENSMNEG00000027216
macaca_fascicularis ENSMFAG00000035623
macaca_nemestrina ENSMNEG00000038894
macaca_mulatta ENSMMUG00000002489
papio_anubis ENSPANG00000012208
theropithecus_gelada ENSTGEG00000014730
cercocebus_atys ENSCATG00000035683
rhinopithecus_bieti ENSRBIG00000035399
rhinopithecus_roxellana ENSRROG00000030677
piliocolobus_tephrosceles ENSPTEG00000011062
cebus_capucinus ENSCCAG00000030660
callithrix_jacchus ENSCJAG00000011102
aotus_nancymaae ENSANAG00000024922
aotus_nancymaae ENSANAG00000021639
saimiri_boliviensis_boliviensis ENSSBOG00000032179
cebus_capucinus ENSCCAG00000021943
saimiri_boliviensis_boliviensis ENSSBOG00000027188
aotus_nancymaae ENSANAG00000037952
chlorocebus_sabaeus ENSCSAG00000014524
macaca_mulatta ENSMMUG00000016682
rhinopithecus_bieti ENSRBIG00000039590
rhinopithecus_roxellana ENSRROG00000042531
piliocolobus_tephrosceles ENSPTEG00000017668
colobus_angolensis_palliatus ENSCANG00000043769
gorilla_gorilla ENSGGOG00000040337
macaca_mulatta ENSMMUG00000039841
saimiri_boliviensis_boliviensis ENSSBOG00000036132
mandrillus_leucophaeus ENSMLEG00000041376
prolemur_simus ENSPSMG00000018812
pan_troglodytes ENSPTRG00000051135
pan_paniscus ENSPPAG00000036939
nomascus_leucogenys ENSNLEG00000012180
colobus_angolensis_palliatus ENSCANG00000040369
propithecus_coquereli ENSPCOG00000013532
carlito_syrichta ENSTSYG00000002221
tupaia_belangeri ENSTBEG00000003918
ursus_maritimus ENSUMAG00000017407
ursus_americanus ENSUAMG00000009410
ailuropoda_melanoleuca ENSAMEG00000009988
procavia_capensis ENSPCAG00000003199
canis_lupus_familiaris ENSCAFG00000000588
canis_lupus_dingo ENSCAFG00020009827
vulpes_vulpes ENSVVUG00000030154
neovison_vison ENSNVIG00000006240
panthera_pardus ENSPPRG00000003209
panthera_tigris_altaica ENSPTIG00000020095
felis_catus ENSFCAG00000031152
equus_asinus_asinus ENSEASG00005012505
equus_caballus ENSECAG00000010547
ovis_aries ENSOARG00000018344
capra_hircus ENSCHIG00000008246
bos_taurus ENSBTAG00000009646
bos_mutus ENSBMUG00000023853
bison_bison_bison ENSBBBG00000013647
tursiops_truncatus ENSTTRG00000014257
sus_scrofa ENSSSCG00000014247
pteropus_vampyrus ENSPVAG00000003284
myotis_lucifugus ENSMLUG00000002944
sorex_araneus ENSSARG00000001555
oryctolagus_cuniculus ENSOCUG00000010185
loxodonta_africana ENSLAFG00000018522
dasypus_novemcinctus ENSDNOG00000045742
choloepus_hoffmanni ENSCHOG00000002143
ornithorhynchus_anatinus ENSOANG00000002544
xenopus_tropicalis ENSXETG00000005191
petromyzon_marinus ENSPMAG00000003325
eptatretus_burgeri ENSEBUG00000011888
ciona_savignyi ENSCSAVG00000008069
