hippocampus_comes ENSHCOG00000013147
periophthalmus_magnuspinnatus ENSPMGG00000004210
astatotilapia_calliptera ENSACLG00000024466
pundamilia_nyererei ENSPNYG00000008854
haplochromis_burtoni ENSHBUG00000003351
maylandia_zebra ENSMZEG00005021689
oreochromis_niloticus ENSONIG00000020912
neolamprologus_brichardi ENSNBRG00000014725
amphilophus_citrinellus ENSACIG00000015423
fundulus_heteroclitus ENSFHEG00000022090
fundulus_heteroclitus ENSFHEG00000022078
xiphophorus_maculatus ENSXMAG00000019888
acanthochromis_polyacanthus ENSAPOG00000005946
stegastes_partitus ENSSPAG00000019115
monopterus_albus ENSMALG00000004391
oryzias_latipes ENSORLG00000016970
oryzias_latipes ENSORLG00020016605
oryzias_latipes ENSORLG00015007180
oryzias_melastigma ENSOMEG00000023228
oryzias_melastigma ENSOMEG00000004020
kryptolebias_marmoratus ENSKMAG00000010663
anabas_testudineus ENSATEG00000011573
mola_mola ENSMMOG00000014706
scophthalmus_maximus ENSSMAG00000017128
gadus_morhua ENSGMOG00000020038
esox_lucius ENSELUG00000021641
pygocentrus_nattereri ENSPNAG00000017963
astyanax_mexicanus ENSAMXG00000035501
ictalurus_punctatus ENSIPUG00000023231
