oryctolagus_cuniculus ENSOCUG00000027699
spermophilus_dauricus ENSSDAG00000015838
macaca_nemestrina ENSMNEG00000042507
theropithecus_gelada ENSTGEG00000024713
felis_catus ENSFCAG00000032358
chrysemys_picta_bellii ENSCPBG00000008334
coturnix_japonica ENSCJPG00005007681
neolamprologus_brichardi ENSNBRG00000000646
pundamilia_nyererei ENSPNYG00000004730
pundamilia_nyererei ENSPNYG00000004805
maylandia_zebra ENSMZEG00005021024
neolamprologus_brichardi ENSNBRG00000005095
amphilophus_citrinellus ENSACIG00000019206
fundulus_heteroclitus ENSFHEG00000011206
acanthochromis_polyacanthus ENSAPOG00000010212
