clupea_harengus ENSCHAG00000024545
denticeps_clupeoides ENSDCDG00000022774
hucho_hucho ENSHHUG00000047545
hucho_hucho ENSHHUG00000050542
parambassis_ranga ENSPRNG00000014037
stegastes_partitus ENSSPAG00000020216
gouania_willdenowi ENSGWIG00000015937
poecilia_latipinna ENSPLAG00000021385
poecilia_formosa ENSPFOG00000007048
poecilia_reticulata ENSPREG00000000564
poecilia_formosa ENSPFOG00000024684
poecilia_latipinna ENSPLAG00000021365
poecilia_mexicana ENSPMEG00000006231
poecilia_reticulata ENSPREG00000000578
xiphophorus_maculatus ENSXMAG00000003984
xiphophorus_couchianus ENSXCOG00000018963
gambusia_affinis ENSGAFG00000021307
fundulus_heteroclitus ENSFHEG00000016796
cyprinodon_variegatus ENSCVAG00000018885
poecilia_formosa ENSPFOG00000022362
xiphophorus_maculatus ENSXMAG00000021032
oryzias_latipes ENSORLG00000023571
oryzias_latipes ENSORLG00015010228
oryzias_latipes ENSORLG00020015541
oryzias_melastigma ENSOMEG00000008568
haplochromis_burtoni ENSHBUG00000003722
pundamilia_nyererei ENSPNYG00000020464
maylandia_zebra ENSMZEG00005001372
astatotilapia_calliptera ENSACLG00000004300
oreochromis_niloticus ENSONIG00000014381
larimichthys_crocea ENSLCRG00005014970
larimichthys_crocea ENSLCRG00005014972
labrus_bergylta ENSLBEG00000002566
cottoperca_gobio ENSCGOG00000020558
monopterus_albus ENSMALG00000007894
mastacembelus_armatus ENSMAMG00000014894
anabas_testudineus ENSATEG00000011801
seriola_dumerili ENSSDUG00000004707
lates_calcarifer ENSLCAG00010027232
scophthalmus_maximus ENSSMAG00000018442
cynoglossus_semilaevis ENSCSEG00000011400
paramormyrops_kingsleyae ENSPKIG00000010751
paramormyrops_kingsleyae ENSPKIG00000010706
lepisosteus_oculatus ENSLOCG00000004519
lepisosteus_oculatus ENSLOCG00000001091
erpetoichthys_calabaricus ENSECRG00000011274
