oryctolagus_cuniculus ENSOCUG00000025985
dasypus_novemcinctus ENSDNOG00000039943
urocitellus_parryii ENSUPAG00010000976
spermophilus_dauricus ENSSDAG00000021524
marmota_marmota ENSMMMG00000001054
ictidomys_tridecemlineatus ENSSTOG00000027216
castor_canadensis ENSCCNG00000020659
heterocephalus_glaber ENSHGLG00100013627
heterocephalus_glaber ENSHGLG00000008240
fukomys_damarensis ENSFDAG00000013171
chinchilla_lanigera ENSCLAG00000002313
peromyscus_maniculatus ENSPEMG00000026505
theropithecus_gelada ENSTGEG00000006241
piliocolobus_tephrosceles ENSPTEG00000038345
prolemur_simus ENSPSMG00000004272
equus_caballus ENSECAG00000023206
equus_asinus ENSEASG00005009023
myotis_lucifugus ENSMLUG00000007216
capra_hircus ENSCHIG00000026301
ovis_aries ENSOARG00000016989
bos_mutus ENSBMUG00000008763
bos_taurus ENSBTAG00000026880
bison_bison ENSBBBG00000020526
sus_scrofa ENSSSCG00000024474
ursus_americanus ENSUAMG00000023165
ursus_maritimus ENSUMAG00000009094
ailuropoda_melanoleuca ENSAMEG00000006636
canis_lupus ENSCAFG00020000533
canis_lupus ENSCAFG00000007293
vulpes_vulpes ENSVVUG00000027864
neovison_vison ENSNVIG00000004163
mustela_putorius ENSMPUG00000007457
panthera_pardus ENSPPRG00000003932
panthera_tigris ENSPTIG00000010585
felis_catus ENSFCAG00000000272
loxodonta_africana ENSLAFG00000010618
sarcophilus_harrisii ENSSHAG00000014356
phascolarctos_cinereus ENSPCIG00000000192
ornithorhynchus_anatinus ENSOANG00000032059
