loxodonta_africana ENSLAFG00000022003
procavia_capensis ENSPCAG00000011451
echinops_telfairi ENSETEG00000008387
ictidomys_tridecemlineatus ENSSTOG00000032131
marmota_marmota_marmota ENSMMMG00000007288
urocitellus_parryii ENSUPAG00010008467
spermophilus_dauricus ENSSDAG00000007205
cavia_porcellus ENSCPOG00000033049
cavia_aperea ENSCAPG00000011055
octodon_degus ENSODEG00000017869
chinchilla_lanigera ENSCLAG00000015353
heterocephalus_glaber_female ENSHGLG00000012817
heterocephalus_glaber_male ENSHGLG00100002582
fukomys_damarensis ENSFDAG00000005736
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017959
mus_spicilegus ENSMSIG00000025924
mus_musculus ENSMUSG00000055937
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0017115
mus_pahari MGP_PahariEiJ_G0018244
rattus_norvegicus ENSRNOG00000011846
meriones_unguiculatus ENSMUGG00000004338
cricetulus_griseus_crigri-picr ENSCGRG00015004616
cricetulus_griseus_chok1gshd ENSCGRG00001010998
cricetulus_griseus_crigri ENSCGRG00000007457
mesocricetus_auratus ENSMAUG00000016117
microtus_ochrogaster ENSMOCG00000007496
peromyscus_maniculatus_bairdii ENSPEMG00000017906
nannospalax_galili ENSNGAG00000020295
jaculus_jaculus ENSJJAG00000022837
castor_canadensis ENSCCNG00000022881
dipodomys_ordii ENSDORG00000006752
cercocebus_atys ENSCATG00000013336
mandrillus_leucophaeus ENSMLEG00000042231
macaca_fascicularis ENSMFAG00000040928
macaca_mulatta ENSMMUG00000001499
macaca_nemestrina ENSMNEG00000045361
theropithecus_gelada ENSTGEG00000007150
papio_anubis ENSPANG00000032109
chlorocebus_sabaeus ENSCSAG00000002833
rhinopithecus_roxellana ENSRROG00000035612
rhinopithecus_bieti ENSRBIG00000018840
colobus_angolensis_palliatus ENSCANG00000028752
piliocolobus_tephrosceles ENSPTEG00000012411
homo_sapiens ENSG00000173908
gorilla_gorilla ENSGGOG00000009707
pan_paniscus ENSPPAG00000027727
pan_troglodytes ENSPTRG00000009131
pongo_abelii ENSPPYG00000008450
nomascus_leucogenys ENSNLEG00000027288
cebus_capucinus ENSCCAG00000037023
saimiri_boliviensis_boliviensis ENSSBOG00000033194
callithrix_jacchus ENSCJAG00000013664
aotus_nancymaae ENSANAG00000037757
prolemur_simus ENSPSMG00000010434
propithecus_coquereli ENSPCOG00000025536
microcebus_murinus ENSMICG00000009865
otolemur_garnettii ENSOGAG00000003074
carlito_syrichta ENSTSYG00000007469
ochotona_princeps ENSOPRG00000018471
oryctolagus_cuniculus ENSOCUG00000015132
tupaia_belangeri ENSTBEG00000003810
equus_caballus ENSECAG00000009734
equus_asinus_asinus ENSEASG00005003700
pteropus_vampyrus ENSPVAG00000011367
vicugna_pacos ENSVPAG00000000986
sus_scrofa ENSSSCG00000017461
bos_mutus ENSBMUG00000007482
bos_taurus ENSBTAG00000030555
bison_bison_bison ENSBBBG00000007843
capra_hircus ENSCHIG00000015839
ovis_aries ENSOARG00000015235
sorex_araneus ENSSARG00000003188
erinaceus_europaeus ENSEEUG00000003766
neovison_vison ENSNVIG00000001803
mustela_putorius_furo ENSMPUG00000014640
ursus_americanus ENSUAMG00000016014
ursus_maritimus ENSUMAG00000018099
ailuropoda_melanoleuca ENSAMEG00000008303
vulpes_vulpes ENSVVUG00000024322
canis_lupus_dingo ENSCAFG00020018588
panthera_pardus ENSPPRG00000004426
panthera_tigris_altaica ENSPTIG00000005633
felis_catus ENSFCAG00000044800
choloepus_hoffmanni ENSCHOG00000003655
ornithorhynchus_anatinus ENSOANG00000002898
