mus_spicilegus ENSMSIG00000016172
mus_musculus ENSMUSG00000030142
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0029873
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0028838
mus_pahari MGP_PahariEiJ_G0022593
rattus_norvegicus ENSRNOG00000061394
meriones_unguiculatus ENSMUGG00000027113
peromyscus_maniculatus_bairdii ENSPEMG00000022603
microtus_ochrogaster ENSMOCG00000000786
cricetulus_griseus_chok1gshd ENSCGRG00001020170
cricetulus_griseus_crigri ENSCGRG00000003803
cricetulus_griseus_crigri-picr ENSCGRG00015011809
mesocricetus_auratus ENSMAUG00000018571
nannospalax_galili ENSNGAG00000010318
jaculus_jaculus ENSJJAG00000001281
castor_canadensis ENSCCNG00000020169
castor_canadensis ENSCCNG00000003239
urocitellus_parryii ENSUPAG00010020695
spermophilus_dauricus ENSSDAG00000024631
ictidomys_tridecemlineatus ENSSTOG00000024586
marmota_marmota_marmota ENSMMMG00000013820
octodon_degus ENSODEG00000001647
cavia_porcellus ENSCPOG00000040588
chinchilla_lanigera ENSCLAG00000014802
heterocephalus_glaber_female ENSHGLG00000001870
heterocephalus_glaber_male ENSHGLG00100007479
fukomys_damarensis ENSFDAG00000004439
ochotona_princeps ENSOPRG00000014243
oryctolagus_cuniculus ENSOCUG00000009195
pan_troglodytes ENSPTRG00000004639
pan_paniscus ENSPPAG00000040574
gorilla_gorilla ENSGGOG00000012219
homo_sapiens ENSG00000166523
pongo_abelii ENSPPYG00000004241
nomascus_leucogenys ENSNLEG00000001893
cercocebus_atys ENSCATG00000033767
papio_anubis ENSPANG00000017047
chlorocebus_sabaeus ENSCSAG00000009687
theropithecus_gelada ENSTGEG00000005893
macaca_mulatta ENSMMUG00000013706
macaca_fascicularis ENSMFAG00000044330
macaca_nemestrina ENSMNEG00000034990
mandrillus_leucophaeus ENSMLEG00000028798
rhinopithecus_bieti ENSRBIG00000029081
rhinopithecus_roxellana ENSRROG00000037092
colobus_angolensis_palliatus ENSCANG00000033018
piliocolobus_tephrosceles ENSPTEG00000012961
callithrix_jacchus ENSCJAG00000018899
saimiri_boliviensis_boliviensis ENSSBOG00000021053
cebus_capucinus ENSCCAG00000033330
aotus_nancymaae ENSANAG00000035955
carlito_syrichta ENSTSYG00000007044
prolemur_simus ENSPSMG00000007288
propithecus_coquereli ENSPCOG00000017330
microcebus_murinus ENSMICG00000033022
otolemur_garnettii ENSOGAG00000000965
tupaia_belangeri ENSTBEG00000004180
sus_scrofa ENSSSCG00000038418
sus_scrofa ENSSSCG00000035457
vicugna_pacos ENSVPAG00000010615
bos_mutus ENSBMUG00000014820
bos_taurus ENSBTAG00000012185
bison_bison_bison ENSBBBG00000015525
capra_hircus ENSCHIG00000013565
ovis_aries ENSOARG00000002718
tursiops_truncatus ENSTTRG00000014265
equus_caballus ENSECAG00000008274
equus_asinus_asinus ENSEASG00005015989
pteropus_vampyrus ENSPVAG00000001699
myotis_lucifugus ENSMLUG00000011581
sorex_araneus ENSSARG00000013156
ursus_maritimus ENSUMAG00000003105
ursus_americanus ENSUAMG00000000752
ailuropoda_melanoleuca ENSAMEG00000013399
neovison_vison ENSNVIG00000010235
mustela_putorius_furo ENSMPUG00000016746
canis_lupus_dingo ENSCAFG00020003453
canis_lupus_familiaris ENSCAFG00000013940
vulpes_vulpes ENSVVUG00000010608
panthera_pardus ENSPPRG00000000406
panthera_tigris_altaica ENSPTIG00000009417
felis_catus ENSFCAG00000038519
choloepus_hoffmanni ENSCHOG00000008337
dasypus_novemcinctus ENSDNOG00000036368
procavia_capensis ENSPCAG00000013671
loxodonta_africana ENSLAFG00000022194
echinops_telfairi ENSETEG00000001234
dipodomys_ordii ENSDORG00000004998
phascolarctos_cinereus ENSPCIG00000031735
notamacropus_eugenii ENSMEUG00000012193
sarcophilus_harrisii ENSSHAG00000005114
monodelphis_domestica ENSMODG00000007337
ornithorhynchus_anatinus ENSOANG00000002392
gopherus_agassizii ENSGAGG00000007025
pelodiscus_sinensis ENSPSIG00000007748
gopherus_agassizii ENSGAGG00000015494
gopherus_agassizii ENSGAGG00000015498
chrysemys_picta_bellii ENSCPBG00000009972
taeniopygia_guttata ENSTGUG00000013141
serinus_canaria ENSSCAG00000015269
serinus_canaria ENSSCAG00000015266
cyanistes_caeruleus ENSCCEG00000011217
ficedula_albicollis ENSFALG00000010863
ficedula_albicollis ENSFALG00000004896
calidris_pygmaea ENSCPGG00000004905
calidris_pugnax ENSCPUG00000007160
calidris_pygmaea ENSCPGG00000004880
manacus_vitellinus ENSMVIG00005014202
anas_platyrhynchos_platyrhynchos ENSAPLG00000029455
anas_platyrhynchos_platyrhynchos ENSAPLG00000025219
anas_platyrhynchos_platyrhynchos ENSAPLG00000021171
anas_platyrhynchos_platyrhynchos ENSAPLG00000020406
anas_platyrhynchos_platyrhynchos ENSAPLG00000025235
anas_platyrhynchos_platyrhynchos ENSAPLG00000020769
anas_platyrhynchos_platyrhynchos ENSAPLG00000019299
anser_brachyrhynchus ENSABRG00000013546
sphenodon_punctatus ENSSPUG00000001977
monodelphis_domestica ENSMODG00000028666
monodelphis_domestica ENSMODG00000014982
sarcophilus_harrisii ENSSHAG00000006704
phascolarctos_cinereus ENSPCIG00000015126
ornithorhynchus_anatinus ENSOANG00000005196
chelonoidis_abingdonii ENSCABG00000015203
gopherus_agassizii ENSGAGG00000006929
sphenodon_punctatus ENSSPUG00000001237
latimeria_chalumnae ENSLACG00000001291
xiphophorus_couchianus ENSXCOG00000010702
oryzias_latipes ENSORLG00000018640
