latimeria_chalumnae ENSLACG00000017772
xenopus_tropicalis ENSXETG00000023848
pogona_vitticeps ENSPVIG00000016674
anolis_carolinensis ENSACAG00000007828
notechis_scutatus ENSNSUG00000000078
salvator_merianae ENSSMRG00000008494
sphenodon_punctatus ENSSPUG00000014865
lonchura_striata_domestica ENSLSDG00000013190
taeniopygia_guttata ENSTGUG00000008251
serinus_canaria ENSSCAG00000004790
zonotrichia_albicollis ENSZALG00000012728
junco_hyemalis ENSJHYG00000014850
parus_major ENSPMJG00000014202
cyanistes_caeruleus ENSCCEG00000016485
ficedula_albicollis ENSFALG00000008217
lepidothrix_coronata ENSLCOG00000008810
manacus_vitellinus ENSMVIG00005007034
melopsittacus_undulatus ENSMUNG00000013285
calidris_pygmaea ENSCPGG00000014590
calidris_pugnax ENSCPUG00000009189
anser_brachyrhynchus ENSABRG00000015773
anas_platyrhynchos_platyrhynchos ENSAPLG00000003408
meleagris_gallopavo ENSMGAG00000001678
meleagris_gallopavo ENSMGAG00000017380
gallus_gallus ENSGALG00000002143
coturnix_japonica ENSCJPG00005019164
numida_meleagris ENSNMEG00000012569
apteryx_owenii ENSAOWG00000005672
apteryx_haastii ENSAHAG00000018659
apteryx_rowi ENSARWG00000009580
dromaius_novaehollandiae ENSDNVG00000000213
nothoprocta_perdicaria ENSNPEG00000011467
crocodylus_porosus ENSCPRG00005000159
gopherus_agassizii ENSGAGG00000024249
chelonoidis_abingdonii ENSCABG00000007943
chrysemys_picta_bellii ENSCPBG00000016992
pelodiscus_sinensis ENSPSIG00000002280
phascolarctos_cinereus ENSPCIG00000027005
notamacropus_eugenii ENSMEUG00000014728
sarcophilus_harrisii ENSSHAG00000010335
monodelphis_domestica ENSMODG00000015199
ornithorhynchus_anatinus ENSOANG00000010622
choloepus_hoffmanni ENSCHOG00000011876
dasypus_novemcinctus ENSDNOG00000016787
loxodonta_africana ENSLAFG00000003759
procavia_capensis ENSPCAG00000006441
echinops_telfairi ENSETEG00000016289
mandrillus_leucophaeus ENSMLEG00000014536
cercocebus_atys ENSCATG00000040535
theropithecus_gelada ENSTGEG00000000694
papio_anubis ENSPANG00000003835
macaca_fascicularis ENSMFAG00000041129
macaca_nemestrina ENSMNEG00000035466
piliocolobus_tephrosceles ENSPTEG00000031205
colobus_angolensis_palliatus ENSCANG00000043461
rhinopithecus_bieti ENSRBIG00000035563
rhinopithecus_roxellana ENSRROG00000032950
pan_paniscus ENSPPAG00000037936
pan_troglodytes ENSPTRG00000045104
homo_sapiens ENSG00000176915
gorilla_gorilla ENSGGOG00000010050
pongo_abelii ENSPPYG00000005147
nomascus_leucogenys ENSNLEG00000008725
piliocolobus_tephrosceles ENSPTEG00000031176
chlorocebus_sabaeus ENSCSAG00000001824
cebus_capucinus ENSCCAG00000029045
saimiri_boliviensis_boliviensis ENSSBOG00000025350
aotus_nancymaae ENSANAG00000030344
callithrix_jacchus ENSCJAG00000012978
carlito_syrichta ENSTSYG00000004684
propithecus_coquereli ENSPCOG00000026196
microcebus_murinus ENSMICG00000003987
prolemur_simus ENSPSMG00000015846
otolemur_garnettii ENSOGAG00000006655
tupaia_belangeri ENSTBEG00000010778
urocitellus_parryii ENSUPAG00010023356
spermophilus_dauricus ENSSDAG00000006065
marmota_marmota_marmota ENSMMMG00000004532
ictidomys_tridecemlineatus ENSSTOG00000015964
chinchilla_lanigera ENSCLAG00000007163
octodon_degus ENSODEG00000009410
