calidris_pugnax ENSCPUG00000019801
calidris_pygmaea ENSCPGG00000007657
melopsittacus_undulatus ENSMUNG00000002271
lepidothrix_coronata ENSLCOG00000009338
manacus_vitellinus ENSMVIG00005014117
zonotrichia_albicollis ENSZALG00000015111
junco_hyemalis ENSJHYG00000002725
serinus_canaria ENSSCAG00000010544
lonchura_striata_domestica ENSLSDG00000009125
ficedula_albicollis ENSFALG00000005780
parus_major ENSPMJG00000019801
cyanistes_caeruleus ENSCCEG00000013936
anser_brachyrhynchus ENSABRG00000011286
anas_platyrhynchos_platyrhynchos ENSAPLG00000021083
meleagris_gallopavo ENSMGAG00000015487
coturnix_japonica ENSCJPG00005016495
gallus_gallus ENSGALG00000004817
numida_meleagris ENSNMEG00000003204
apteryx_haastii ENSAHAG00000005693
apteryx_rowi ENSARWG00000015532
apteryx_owenii ENSAOWG00000016916
dromaius_novaehollandiae ENSDNVG00000002994
nothoprocta_perdicaria ENSNPEG00000010833
crocodylus_porosus ENSCPRG00005012575
gopherus_agassizii ENSGAGG00000019494
chelonoidis_abingdonii ENSCABG00000022381
chrysemys_picta_bellii ENSCPBG00000015769
pelodiscus_sinensis ENSPSIG00000014089
pogona_vitticeps ENSPVIG00000010799
anolis_carolinensis ENSACAG00000016003
notechis_scutatus ENSNSUG00000001277
salvator_merianae ENSSMRG00000002108
sphenodon_punctatus ENSSPUG00000008926
notamacropus_eugenii ENSMEUG00000015528
phascolarctos_cinereus ENSPCIG00000025718
sarcophilus_harrisii ENSSHAG00000011771
monodelphis_domestica ENSMODG00000023170
heterocephalus_glaber_female ENSHGLG00000013238
heterocephalus_glaber_male ENSHGLG00100018972
fukomys_damarensis ENSFDAG00000000162
chinchilla_lanigera ENSCLAG00000008139
octodon_degus ENSODEG00000008498
cavia_aperea ENSCAPG00000006013
cavia_porcellus ENSCPOG00000004307
urocitellus_parryii ENSUPAG00010018533
ictidomys_tridecemlineatus ENSSTOG00000027263
spermophilus_dauricus ENSSDAG00000020546
marmota_marmota_marmota ENSMMMG00000024141
mus_musculus ENSMUSG00000049396
mus_spicilegus ENSMSIG00000024775
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0016756
mus_pahari MGP_PahariEiJ_G0017893
rattus_norvegicus ENSRNOG00000055236
meriones_unguiculatus ENSMUGG00000004205
cricetulus_griseus_crigri ENSCGRG00000016588
cricetulus_griseus_crigri-picr ENSCGRG00015018776
cricetulus_griseus_chok1gshd ENSCGRG00001016874
mesocricetus_auratus ENSMAUG00000018640
microtus_ochrogaster ENSMOCG00000016454
nannospalax_galili ENSNGAG00000016650
jaculus_jaculus ENSJJAG00000014157
dipodomys_ordii ENSDORG00000007547
oryctolagus_cuniculus ENSOCUG00000002205
ochotona_princeps ENSOPRG00000002470
pan_troglodytes ENSPTRG00000008509
pan_paniscus ENSPPAG00000030072
homo_sapiens ENSG00000179409
gorilla_gorilla ENSGGOG00000015510
pongo_abelii ENSPPYG00000007759
nomascus_leucogenys ENSNLEG00000000531
rhinopithecus_roxellana ENSRROG00000043454
rhinopithecus_bieti ENSRBIG00000042493
piliocolobus_tephrosceles ENSPTEG00000015036
mandrillus_leucophaeus ENSMLEG00000039332
cercocebus_atys ENSCATG00000022135
macaca_mulatta ENSMMUG00000030401
macaca_fascicularis ENSMFAG00000037363
macaca_nemestrina ENSMNEG00000024138
theropithecus_gelada ENSTGEG00000013442
papio_anubis ENSPANG00000024610
chlorocebus_sabaeus ENSCSAG00000014260
cebus_capucinus ENSCCAG00000026431
saimiri_boliviensis_boliviensis ENSSBOG00000033032
callithrix_jacchus ENSCJAG00000038327
aotus_nancymaae ENSANAG00000034256
carlito_syrichta ENSTSYG00000006053
propithecus_coquereli ENSPCOG00000018836
microcebus_murinus ENSMICG00000033667
prolemur_simus ENSPSMG00000001025
otolemur_garnettii ENSOGAG00000001353
pteropus_vampyrus ENSPVAG00000011706
myotis_lucifugus ENSMLUG00000001494
equus_caballus ENSECAG00000006339
equus_asinus_asinus ENSEASG00005009640
ursus_maritimus ENSUMAG00000010047
ursus_americanus ENSUAMG00000009503
ailuropoda_melanoleuca ENSAMEG00000018474
neovison_vison ENSNVIG00000007293
mustela_putorius_furo ENSMPUG00000013757
canis_lupus_dingo ENSCAFG00020010957
canis_lupus_familiaris ENSCAFG00000024432
vulpes_vulpes ENSVVUG00000021612
panthera_tigris_altaica ENSPTIG00000021725
panthera_pardus ENSPPRG00000009427
felis_catus ENSFCAG00000024115
erinaceus_europaeus ENSEEUG00000006466
bos_taurus ENSBTAG00000013393
bos_mutus ENSBMUG00000009722
bison_bison_bison ENSBBBG00000020708
capra_hircus ENSCHIG00000026226
ovis_aries ENSOARG00000011477
tursiops_truncatus ENSTTRG00000003065
sus_scrofa ENSSSCG00000017809
vicugna_pacos ENSVPAG00000009369
dasypus_novemcinctus ENSDNOG00000048322
choloepus_hoffmanni ENSCHOG00000011661
loxodonta_africana ENSLAFG00000017567
procavia_capensis ENSPCAG00000007915
sorex_araneus ENSSARG00000010726
ornithorhynchus_anatinus ENSOANG00000009929
xenopus_tropicalis ENSXETG00000022460
latimeria_chalumnae ENSLACG00000007550
takifugu_rubripes ENSTRUG00000010725
tetraodon_nigroviridis ENSTNIG00000014282
mola_mola ENSMMOG00000005218
labrus_bergylta ENSLBEG00000023482
monopterus_albus ENSMALG00000004352
mastacembelus_armatus ENSMAMG00000005293
anabas_testudineus ENSATEG00000019818
scophthalmus_maximus ENSSMAG00000017304
cynoglossus_semilaevis ENSCSEG00000005072
seriola_dumerili ENSSDUG00000000423
seriola_lalandi_dorsalis ENSSLDG00000000346
fundulus_heteroclitus ENSFHEG00000020773
cyprinodon_variegatus ENSCVAG00000013548
poecilia_formosa ENSPFOG00000011252
poecilia_latipinna ENSPLAG00000006323
poecilia_mexicana ENSPMEG00000011665
poecilia_reticulata ENSPREG00000009166
xiphophorus_maculatus ENSXMAG00000002485
xiphophorus_couchianus ENSXCOG00000004508
gambusia_affinis ENSGAFG00000013096
kryptolebias_marmoratus ENSKMAG00000014793
oryzias_latipes ENSORLG00020017416
oryzias_latipes_asm223469v1 ENSORLG00015023231
oryzias_latipes ENSORLG00000009858
oryzias_melastigma ENSOMEG00000020772
maylandia_zebra ENSMZEG00005004438
astatotilapia_calliptera ENSACLG00000016073
pundamilia_nyererei ENSPNYG00000009482
haplochromis_burtoni ENSHBUG00000008115
neolamprologus_brichardi ENSNBRG00000015072
oreochromis_niloticus ENSONIG00000016099
amphilophus_citrinellus ENSACIG00000023497
amphiprion_ocellaris ENSAOCG00000021978
amphiprion_percula ENSAPEG00000003477
acanthochromis_polyacanthus ENSAPOG00000003304
stegastes_partitus ENSSPAG00000017675
hippocampus_comes ENSHCOG00000015057
periophthalmus_magnuspinnatus ENSPMGG00000008805
gasterosteus_aculeatus ENSGACG00000005362
gadus_morhua ENSGMOG00000016639
esox_lucius ENSELUG00000011032
pygocentrus_nattereri ENSPNAG00000009709
astyanax_mexicanus ENSAMXG00000008903
ictalurus_punctatus ENSIPUG00000006029
danio_rerio ENSDARG00000041252
paramormyrops_kingsleyae ENSPKIG00000021025
scleropages_formosus ENSSFOG00015015430
lepisosteus_oculatus ENSLOCG00000006840
petromyzon_marinus ENSPMAG00000006111
eptatretus_burgeri ENSEBUG00000012282
