monodelphis_domestica ENSMODG00000010485
sarcophilus_harrisii ENSSHAG00000010327
notamacropus_eugenii ENSMEUG00000016627
loxodonta_africana ENSLAFG00000008562
procavia_capensis ENSPCAG00000002134
echinops_telfairi ENSETEG00000013393
pan_troglodytes ENSPTRG00000003093
gorilla_gorilla ENSGGOG00000004716
pan_paniscus ENSPPAG00000029430
homo_sapiens ENSG00000148803
pongo_abelii ENSPPYG00000001728
nomascus_leucogenys ENSNLEG00000002216
rhinopithecus_roxellana ENSRROG00000045315
rhinopithecus_bieti ENSRBIG00000028390
piliocolobus_tephrosceles ENSPTEG00000024889
theropithecus_gelada ENSTGEG00000029119
papio_anubis ENSPANG00000020077
macaca_fascicularis ENSMFAG00000001044
macaca_mulatta ENSMMUG00000006324
macaca_nemestrina ENSMNEG00000027415
cercocebus_atys ENSCATG00000034570
chlorocebus_sabaeus ENSCSAG00000006637
mandrillus_leucophaeus ENSMLEG00000031107
colobus_angolensis_palliatus ENSCANG00000000737
cebus_capucinus ENSCCAG00000037502
saimiri_boliviensis_boliviensis ENSSBOG00000020879
callithrix_jacchus ENSCJAG00000005221
aotus_nancymaae ENSANAG00000015675
carlito_syrichta ENSTSYG00000014737
ochotona_princeps ENSOPRG00000001643
oryctolagus_cuniculus ENSOCUG00000000470
mus_spicilegus ENSMSIG00000026449
mus_musculus ENSMUSG00000025466
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0031741
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0030630
mus_pahari MGP_PahariEiJ_G0013835
rattus_norvegicus ENSRNOG00000047000
rattus_norvegicus ENSRNOG00000018476
meriones_unguiculatus ENSMUGG00000009755
cricetulus_griseus_crigri ENSCGRG00000016176
cricetulus_griseus_chok1gshd ENSCGRG00001017273
cricetulus_griseus_crigri-picr ENSCGRG00015027737
peromyscus_maniculatus_bairdii ENSPEMG00000011655
mesocricetus_auratus ENSMAUG00000001822
microtus_ochrogaster ENSMOCG00000013465
nannospalax_galili ENSNGAG00000023981
jaculus_jaculus ENSJJAG00000013201
castor_canadensis ENSCCNG00000003380
dipodomys_ordii ENSDORG00000011484
heterocephalus_glaber_female ENSHGLG00000011771
heterocephalus_glaber_male ENSHGLG00100006966
fukomys_damarensis ENSFDAG00000011983
cavia_porcellus ENSCPOG00000019980
chinchilla_lanigera ENSCLAG00000002915
octodon_degus ENSODEG00000017553
tupaia_belangeri ENSTBEG00000008016
bos_mutus ENSBMUG00000020030
bos_taurus ENSBTAG00000005715
bison_bison_bison ENSBBBG00000001348
ovis_aries ENSOARG00000000663
capra_hircus ENSCHIG00000013789
sus_scrofa ENSSSCG00000010791
canis_lupus_dingo ENSCAFG00020020450
canis_lupus_familiaris ENSCAFG00000013423
vulpes_vulpes ENSVVUG00000000340
neovison_vison ENSNVIG00000009838
ursus_americanus ENSUAMG00000016158
ursus_maritimus ENSUMAG00000010243
ailuropoda_melanoleuca ENSAMEG00000003256
panthera_tigris_altaica ENSPTIG00000007604
panthera_pardus ENSPPRG00000004401
felis_catus ENSFCAG00000015205
equus_asinus_asinus ENSEASG00005015096
equus_caballus ENSECAG00000031485
myotis_lucifugus ENSMLUG00000005359
periophthalmus_magnuspinnatus ENSPMGG00000020368
cynoglossus_semilaevis ENSCSEG00000006986
gadus_morhua ENSGMOG00000001239
takifugu_rubripes ENSTRUG00000021838
tetraodon_nigroviridis ENSTNIG00000016537
labrus_bergylta ENSLBEG00000014042
anabas_testudineus ENSATEG00000022202
mastacembelus_armatus ENSMAMG00000004605
monopterus_albus ENSMALG00000015785
gasterosteus_aculeatus ENSGACG00000006777
seriola_dumerili ENSSDUG00000023086
seriola_lalandi_dorsalis ENSSLDG00000016158
mola_mola ENSMMOG00000011025
scophthalmus_maximus ENSSMAG00000004827
pundamilia_nyererei ENSPNYG00000010409
maylandia_zebra ENSMZEG00005003987
astatotilapia_calliptera ENSACLG00000006385
haplochromis_burtoni ENSHBUG00000022505
neolamprologus_brichardi ENSNBRG00000011136
oreochromis_niloticus ENSONIG00000009598
amphilophus_citrinellus ENSACIG00000012561
acanthochromis_polyacanthus ENSAPOG00000003788
amphiprion_ocellaris ENSAOCG00000003508
stegastes_partitus ENSSPAG00000022077
xiphophorus_maculatus ENSXMAG00000013710
xiphophorus_couchianus ENSXCOG00000012031
gambusia_affinis ENSGAFG00000008594
poecilia_formosa ENSPFOG00000007201
poecilia_latipinna ENSPLAG00000019559
poecilia_mexicana ENSPMEG00000005149
poecilia_reticulata ENSPREG00000021674
fundulus_heteroclitus ENSFHEG00000005138
cyprinodon_variegatus ENSCVAG00000000112
kryptolebias_marmoratus ENSKMAG00000018324
oryzias_latipes ENSORLG00000030462
oryzias_latipes_asm223469v1 ENSORLG00015005694
oryzias_latipes ENSORLG00020001765
oryzias_melastigma ENSOMEG00000002263
esox_lucius ENSELUG00000001136
astyanax_mexicanus ENSAMXG00000003603
pygocentrus_nattereri ENSPNAG00000013958
ictalurus_punctatus ENSIPUG00000020642
danio_rerio ENSDARG00000039422
scleropages_formosus ENSSFOG00015017160
paramormyrops_kingsleyae ENSPKIG00000017295
lepisosteus_oculatus ENSLOCG00000004282
eptatretus_burgeri ENSEBUG00000008620
